company;drn
Options UK Personal Pensions LLP;DRN-3972270
Santander UK Plc;DRN-3972278
Madison CF UK Limited;DRN-3972279
Tesco Personal Finance PLC;DRN-3972310
HSBC UK Bank Plc;DRN-3972333
Starling Bank Limited;DRN-3972378
Sainsbury's Bank Plc;DRN-3972386
BUPA Insurance Limited;DRN-3972388
RAC Insurance Limited;DRN-3972407
Aviva Life & Pensions UK Limited;DRN-3972413
The Mortgage Works (UK) Plc;DRN-3972433
West Bromwich Building Society;DRN-3972461
Santander UK Plc;DRN-3972481
Admiral Insurance (Gibraltar) Limited;DRN-3972543
ReAssure Life Limited;DRN-3972571
MBNA Limited;DRN-3972589
National Westminster Bank Plc;DRN-3972599
Lex Autolease Ltd;DRN-3972604
QBE UK Limited;DRN-3972690
Omni Capital Retail Finance Limited;DRN-3972694
Bank of Ireland (UK) Plc;DRN-3972699
Santander UK Plc;DRN-3972717
Advantage Insurance Company Limited;DRN-3972727
HSBC UK Bank Plc;DRN-3972752
Lloyds Bank PLC;DRN-3972813
Klarna Bank AB (publ);DRN-3972817
Hargreaves Lansdown Asset Management Limited;DRN-3972818
ReAssure Limited;DRN-3972827
Shelby Finance Ltd;DRN-3972874
Barclays Bank UK PLC;DRN-3972894
Ageas Insurance Limited;DRN-3972916
Mortgage Advice Bureau Limited;DRN-3972930
Gallium Fund Solutions Limited;DRN-3972955
True Potential Wealth Management LLP;DRN-3972962
Santander UK Plc;DRN-3973010
Barclays Bank UK PLC;DRN-3973028
Barclays Bank UK PLC;DRN-3973041
AXA Insurance UK Plc;DRN-3973051
AXA Insurance UK Plc;DRN-3973133
Vitality Health Limited;DRN-3973164
Nationwide Building Society;DRN-3973192
Admiral Insurance (Gibraltar) Limited;DRN-3973193
Gain Credit LLC;DRN-3973225
Creation Financial Services Limited;DRN-3973253
The Royal London Mutual Insurance Society Limited;DRN-3973266
eBay Commerce UK Ltd;DRN-3973335
HSBC UK Bank Plc;DRN-3973373
Ageas Insurance Limited;DRN-3973396
Fairmead Insurance Limited;DRN-3973402
Volkswagen Financial Services (UK) Limited;DRN-3973505
Barclays Bank UK PLC;DRN-3973520
247 Money Group Limited;DRN-3973636
Aviva Insurance Limited;DRN-3973647
Aviva Life & Pensions UK Limited;DRN-3973677
HSBC UK Bank Plc;DRN-3973687
Moneybarn No. 1 Limited;DRN-3973700
St. James's Place Wealth Management Plc;DRN-3973703
Starling Bank Limited;DRN-3973716
Shawbrook Bank Limited;DRN-3973744
Options UK Personal Pensions LLP;DRN-3973748
Carrot Risk Technologies Ltd;DRN-3973761
Options UK Personal Pensions LLP;DRN-3973784
Admiral Insurance (Gibraltar) Limited;DRN-3973787
Metro Bank PLC;DRN-3973812
esure Insurance Limited;DRN-3973818
Barclays Bank UK PLC;DRN-3973856
HSBC Life (UK) Limited;DRN-3973889
Truly Independent Limited;DRN-3973896
Clydesdale Financial Services Limited;DRN-3973897
Truly Independent Limited;DRN-3973901
Curtis Banks Limited;DRN-3973924
Santander UK Plc;DRN-3973933
The Royal London Mutual Insurance Society Limited;DRN-3973936
Ageas Insurance Limited;DRN-3973986
AWP P&C SA;DRN-3974004
Revolut Ltd;DRN-3974005
Accredited Insurance (Europe) Ltd;DRN-3974017
Clydesdale Bank Plc;DRN-3974027
Lloyds Bank PLC;DRN-3974030
Niche Independent Financial Advisers Limited;DRN-3974038
Watford Insurance Company Europe Limited;DRN-3974048
Utmost Life and Pensions Limited;DRN-3974055
Liverpool Victoria Financial Services Limited;DRN-3974056
U K Insurance Limited;DRN-3974107
Allium Money Limited;DRN-3974110
Everyday Lending Limited;DRN-3974118
Monzo Bank Ltd;DRN-3974140
Royal & Sun Alliance Insurance Limited;DRN-3974143
Bamboo Limited;DRN-3974165
Options UK Personal Pensions LLP;DRN-3974217
Decidebloom Limited;DRN-3974259
HSBC UK Bank Plc;DRN-3974289
NewDay Ltd;DRN-3974335
Fair for You Enterprise CIC;DRN-3974382
NewDay Ltd;DRN-3974402
Loans 2 Go Limited;DRN-3974411
Gain Credit LLC;DRN-3974491
Barclays Bank UK PLC;DRN-3974508
esure Insurance Limited;DRN-3974517
Secure Trust Bank Plc;DRN-3974549
Santander UK Plc;DRN-3974706
Royal & Sun Alliance Insurance Limited;DRN-3974833
Lloyds Bank General Insurance Limited;DRN-3974894
Aviva Insurance Limited;DRN-3974895
Inter Partner Assistance SA;DRN-3974936
Scottish Widows Limited;DRN-3974945
Options UK Personal Pensions LLP;DRN-3974952
Clydesdale Bank Plc;DRN-3974956
AXA France IARD;DRN-3974961
FUND OURSELVES LIMITED;DRN-3974965
BISL Limited;DRN-3974981
Barclays Bank UK PLC;DRN-3975004
Black Horse Limited;DRN-3975009
Coventry Building Society;DRN-3975011
St James's Place UK plc;DRN-3975023
Monzo Bank Ltd;DRN-3975044
Options UK Personal Pensions LLP;DRN-3975061
Topaz Finance Limited;DRN-3975068
Loans 2 Go Limited;DRN-3975085
Clydesdale Bank Plc;DRN-3975091
AXA France IARD;DRN-3975132
esure Insurance Limited;DRN-3975138
Lloyds Bank PLC;DRN-3975164
Ald Automotive Limited;DRN-3975171
Barclays Bank Plc;DRN-3975187
Santander UK Plc;DRN-3975191
Santander UK Plc;DRN-3975270
Scottish Widows Limited;DRN-3975335
Profile Financial Solutions Limited;DRN-3975345
Mitsubishi HC Capital UK Plc;DRN-3975354
BUPA Insurance Limited;DRN-3975355
Options UK Personal Pensions LLP;DRN-3975361
Aviva Insurance Limited;DRN-3975365
Grove Pension Solutions Limited;DRN-3975370
National Westminster Bank Plc;DRN-3975372
Barclays Bank UK PLC;DRN-3975381
Haven Insurance Company Limited;DRN-3975395
MotoNovo Finance Limited;DRN-3975418
DAS Legal Expenses Insurance Company Limited;DRN-3975436
Marks & Spencer Financial Services plc;DRN-3975476
HSBC UK Bank Plc;DRN-3975495
Society of Lloyd's;DRN-3975504
Santander UK Plc;DRN-3975517
Aviva Insurance Limited;DRN-3975523
AXA Insurance UK Plc;DRN-3975527
Barclays Bank UK PLC;DRN-3975540
Bank of Scotland Plc;DRN-3975554
Legal and General Assurance Society Limited;DRN-3975557
National Westminster Bank Plc;DRN-3975599
Santander UK Plc;DRN-3975603
Legal and General Assurance Society Limited;DRN-3975651
Investment Funds Direct Limited;DRN-3975658
Hiscox Insurance Company Limited;DRN-3975673
Pension Works Limited;DRN-3975695
NewDay Ltd;DRN-3975704
Specialist Motor Finance Limited;DRN-3975723
Zurich Insurance PLC;DRN-3975913
Red Sands Insurance Company (Europe) Limited;DRN-3975925
Stagemount Limited;DRN-3975934
National Westminster Bank Plc;DRN-3975959
AXA PPP Healthcare Limited;DRN-3975996
Tesco Personal Finance PLC;DRN-3976000
Grattan Plc;DRN-3976047
AXA Insurance UK Plc;DRN-3976073
Ageas Insurance Limited;DRN-3976074
Haven Insurance Company Limited;DRN-3976098
Barclays Bank UK PLC;DRN-3976158
Options UK Personal Pensions LLP;DRN-3976179
Clydesdale Bank Plc;DRN-3976181
ALMAS INDUSTRIES UK LIMITED;DRN-3976189
Zurich Insurance PLC;DRN-3976192
HSBC UK Bank Plc;DRN-3976285
Barclays Bank UK PLC;DRN-3976321
Bank of Scotland Plc;DRN-3976350
BUPA Insurance Limited;DRN-3976371
Capital One (Europe) plc;DRN-3976386
Creation Consumer Finance Ltd;DRN-3976431
Zurich Assurance Ltd;DRN-3976445
Barclays Bank UK PLC;DRN-3976457
Clear Score Technology Limited;DRN-3976528
Wise Payments Limited;DRN-3976531
Bank of Scotland Plc;DRN-3976549
CMC Markets UK plc;DRN-3976568
Bastion Insurance Company Limited;DRN-3976585
Revolut Ltd;DRN-3976591
Admiral Insurance (Gibraltar) Limited;DRN-3976600
Scottish Equitable Plc;DRN-3976616
Creation Financial Services Limited;DRN-3976652
Barclays Bank UK PLC;DRN-3976662
Options UK Personal Pensions LLP;DRN-3976663
U K Insurance Limited;DRN-3976683
Barclays Bank UK PLC;DRN-3976701
Clydesdale Financial Services Limited;DRN-3976706
HSBC UK Bank Plc;DRN-3976730
Motor Depot Limited;DRN-3976749
Aviva Equity Release UK Limited;DRN-3976768
Revolut Ltd;DRN-3976826
Blossom Leasing Limited;DRN-3976827
John Lewis Financial Services Limited;DRN-3976869
Euroins AD;DRN-3976877
Liverpool Victoria Financial Services Limited;DRN-3976896
HSBC UK Bank Plc;DRN-3976899
Monzo Bank Ltd;DRN-3976915
Starling Bank Limited;DRN-3976921
Aldermore Bank Plc;DRN-3976929
Advantage Insurance Company Limited;DRN-3976931
HSBC UK Bank Plc;DRN-3976954
Soteria Insurance Limited;DRN-3976976
Lloyds Bank General Insurance Limited;DRN-3976988
Santander UK Plc;DRN-3977016
Aviva Insurance Limited;DRN-3977031
Equifax Limited;DRN-3977093
Santander UK Plc;DRN-3977094
Chetwood Financial Limited;DRN-3977119
State Bank Of India (UK) Limited;DRN-3977131
Tesco Personal Finance PLC;DRN-3977156
Black Horse Limited;DRN-3977190
M & G Securities Limited;DRN-3977205
Casualty & General Insurance Company (Europe) Ltd;DRN-3977219
Amtrust Europe Limited;DRN-3977234
Lloyds Bank PLC;DRN-3977236
Pinnacle Insurance Plc;DRN-3977240
Ageas Insurance Limited;DRN-3977245
Hastings Insurance Services Limited;DRN-3977262
Blue Motor Finance Ltd;DRN-3977288
AXA Insurance UK Plc;DRN-3977305
Moneybarn No. 1 Limited;DRN-3977309
Clydesdale Bank Plc;DRN-3977311
Options UK Personal Pensions LLP;DRN-3977316
Rock Insurance Services Limited;DRN-3977345
National Westminster Bank Plc;DRN-3977353
The Royal London Mutual Insurance Society Limited;DRN-3977384
Amtrust Europe Limited;DRN-3977397
Skipton Building Society;DRN-3977414
Casualty & General Insurance Company (Europe) Ltd;DRN-3977425
Gain Credit LLC;DRN-3977438
Options UK Personal Pensions LLP;DRN-3977439
QBE UK Limited;DRN-3977440
Santander UK Plc;DRN-3977464
Barclays Bank UK PLC;DRN-3977507
Options UK Personal Pensions LLP;DRN-3977509
Lloyds Bank PLC;DRN-3977516
Computershare Investor Services Plc;DRN-3977543
Options UK Personal Pensions LLP;DRN-3977548
Gain Credit LLC;DRN-3977557
Lakes Mortgages Limited;DRN-3977576
U K Insurance Limited;DRN-3977625
Phoenix Life Limited;DRN-3977637
Thamesbank Insurance Services;DRN-3977640
Studio Retail Limited;DRN-3977652
Barclays Bank UK PLC;DRN-3977671
St Andrew's Insurance plc;DRN-3977677
The Royal London Mutual Insurance Society Limited;DRN-3977703
Unum Ltd;DRN-3977722
Nationwide Building Society;DRN-3977806
Moneybarn No. 1 Limited;DRN-3977816
Allianz Insurance Plc;DRN-3977845
AXA Insurance UK Plc;DRN-3977864
British Gas Insurance Limited;DRN-3977874
Liverpool Victoria Insurance Company Limited;DRN-3977917
Great Lakes Insurance SE;DRN-3977922
Aviva Life & Pensions UK Limited;DRN-3977938
Assetz SME Capital Limited;DRN-3977966
Finance Shop Ltd;DRN-3977969
Royal & Sun Alliance Insurance Limited;DRN-3977987
Bank of Scotland Plc;DRN-3978023
Madison CF UK Limited;DRN-3978037
Haven Insurance Company Limited;DRN-3978083
Aviva Insurance Limited;DRN-3978107
Options UK Personal Pensions LLP;DRN-3978113
Covea Insurance plc;DRN-3978116
Automobile Association Insurance Services Limited;DRN-3978117
Nationwide Building Society;DRN-3978125
AWP P&C SA;DRN-3978155
Barclays Bank UK PLC;DRN-3978224
Lloyds Bank General Insurance Limited;DRN-3978240
Monzo Bank Ltd;DRN-3978256
Sainsbury's Bank Plc;DRN-3978278
Covea Insurance plc;DRN-3978283
BUPA Insurance Limited;DRN-3978327
Aviva Insurance Limited;DRN-3978371
Nationwide Building Society;DRN-3978424
HSBC UK Bank Plc;DRN-3978467
Lloyds Bank General Insurance Limited;DRN-3978482
Monzo Bank Ltd;DRN-3978509
QIC Europe Ltd;DRN-3978535
AXA Insurance UK Plc;DRN-3978538
The Royal Bank of Scotland Plc;DRN-3978550
Hiscox Insurance Company Limited;DRN-3978584
Lloyds Bank PLC;DRN-3978600
National Westminster Bank Plc;DRN-3978607
Helvetia Global Solutions Ltd;DRN-3978608
HSBC UK Bank Plc;DRN-3978612
The Co-operative Bank Plc;DRN-3978629
Santander Consumer (UK) Plc;DRN-3978681
Klarna Bank AB (publ);DRN-3978704
Options UK Personal Pensions LLP;DRN-3978730
The Royal Bank of Scotland Plc;DRN-3978807
Options UK Personal Pensions LLP;DRN-3978813
Aioi Nissay Dowa Insurance UK Limited;DRN-3978841
Bank of Scotland Plc;DRN-3978877
Nelson Insurance Company Ltd;DRN-3978879
Admiral Insurance (Gibraltar) Limited;DRN-3978898
HSBC UK Bank Plc;DRN-3978919
Barclays Bank UK PLC;DRN-3978926
Zopa Bank Limited;DRN-3979091
Options UK Personal Pensions LLP;DRN-3979097
Scottish Widows Bank Plc;DRN-3979107
AWP P&C SA;DRN-3979138
Gain Credit LLC;DRN-3979178
CB Payments Ltd;DRN-3979180
The Foremost Currency Group Limited;DRN-3979197
Zurich Assurance Ltd;DRN-3979238
Barclays Bank UK PLC;DRN-3979363
AXA Insurance UK Plc;DRN-3979396
Lex Autolease Ltd;DRN-3979409
Kensington Mortgage Company Limited;DRN-3979432
Revolut Ltd;DRN-3979454
Advantage Insurance Company Limited;DRN-3979457
Accredited Insurance (Europe) Ltd;DRN-3979515
National Westminster Bank Plc;DRN-3979568
Santander UK Plc;DRN-3979600
Bank of Scotland Plc;DRN-3979702
Oplo PL Ltd;DRN-3979730
Creation Consumer Finance Ltd;DRN-3979749
QIC Europe Ltd;DRN-3979812
Fairmead Insurance Limited;DRN-3979817
Brewin Dolphin Limited;DRN-3979823
National Westminster Bank Plc;DRN-3979902
Monzo Bank Ltd;DRN-3979971
British Gas Insurance Limited;DRN-3979976
Halifax Share Dealing Limited;DRN-3979983
The Royal Bank of Scotland Plc;DRN-3979987
Lloyds Bank PLC;DRN-3979996
Lloyds Bank PLC;DRN-3980066
Aviva Insurance Limited;DRN-3980067
Revolut Ltd;DRN-3980093
Royal & Sun Alliance Insurance Limited;DRN-3980101
Assicurazioni Generali SpA;DRN-3980130
AXA Insurance UK Plc;DRN-3980139
Barclays Bank UK PLC;DRN-3980151
National Westminster Bank Plc;DRN-3980152
Klarna Bank AB (publ);DRN-3980164
HSBC UK Bank Plc;DRN-3980177
American Express Services Europe Limited;DRN-3980204
Hiscox Insurance Company Limited;DRN-3980237
Dynamo Cover Limited;DRN-3980245
National Westminster Bank Plc;DRN-3980247
M & N Insurance Service Ltd;DRN-3980269
ZOTTO LTD;DRN-3980294
Citibank UK Limited;DRN-3980316
Barclays Bank UK PLC;DRN-3980333
Royal & Sun Alliance Insurance Limited;DRN-3980375
Nationwide Building Society;DRN-3980400
NRAM Limited;DRN-3980421
Wesleyan Financial Services Ltd;DRN-3980448
Options UK Personal Pensions LLP;DRN-3980476
Moneybarn No. 1 Limited;DRN-3980484
U K Insurance Limited;DRN-3980485
London and Country Mortgages Ltd;DRN-3980487
U K Insurance Limited;DRN-3980504
Mercedes-Benz Financial Services UK Limited;DRN-3980521
PayrNet Limited;DRN-3980583
Nationwide Building Society;DRN-3980612
Chetwood Financial Limited;DRN-3980621
Creation Consumer Finance Ltd;DRN-3980630
Tesco Personal Finance PLC;DRN-3980643
Monzo Bank Ltd;DRN-3980644
Gallium Fund Solutions Limited;DRN-3980645
Santander UK Plc;DRN-3980667
Startline Motor Finance Limited;DRN-3980670
AXA Insurance UK Plc;DRN-3980676
Clydesdale Financial Services Limited;DRN-3980747
Virgin Money Unit Trust Managers Ltd;DRN-3980791
Metro Bank PLC;DRN-3980793
Options UK Personal Pensions LLP;DRN-3980799
QIC Europe Ltd;DRN-3980811
Admiral Insurance (Gibraltar) Limited;DRN-3980816
Virgin Money Unit Trust Managers Ltd;DRN-3980819
The Governor and Company of the Bank of Ireland;DRN-3980828
Haven Insurance Company Limited;DRN-3980860
John Lewis Financial Services Limited;DRN-3980897
Barclays Bank UK PLC;DRN-3980905
Gallium Fund Solutions Limited;DRN-3980926
AXA PPP Healthcare Limited;DRN-3980972
HSBC UK Bank Plc;DRN-3980981
Santander Consumer (UK) Plc;DRN-3980986
Extracover Limited;DRN-3980989
Shelby Finance Ltd;DRN-3981035
Creation Consumer Finance Ltd;DRN-3981060
Studio Retail Limited;DRN-3981102
AA Underwriting Insurance Company Limited;DRN-3981108
Society of Lloyd's;DRN-3981124
Clear Score Technology Limited;DRN-3981126
NewDay Ltd;DRN-3981142
Barclays Bank UK PLC;DRN-3981176
Barclays Bank UK PLC;DRN-3981183
Assurant General Insurance Limited;DRN-3981200
Admiral Insurance (Gibraltar) Limited;DRN-3981217
Lendable Ltd;DRN-3981218
Aviva Insurance Limited;DRN-3981292
Naylors Finance Limited;DRN-3981301
Lendable Ltd;DRN-3981344
Calpe Insurance Company Limited;DRN-3981348
Barclays Bank UK PLC;DRN-3981368
QIC Europe Ltd;DRN-3981380
Lloyds Bank PLC;DRN-3981405
Scottish Widows Limited;DRN-3981416
Lloyds Bank PLC;DRN-3981471
Yorkshire Building Society;DRN-3981523
The Co-operative Bank Plc;DRN-3981533
U K Insurance Limited;DRN-3981636
Lloyds Bank PLC;DRN-3981641
Next Retail Limited;DRN-3981649
Revolut Ltd;DRN-3981703
Carole Nash Insurance Consultants Ltd;DRN-3981720
HSBC UK Bank Plc;DRN-3981813
Shawbrook Bank Limited;DRN-3981845
Nationwide Building Society;DRN-3981854
Lloyds Bank General Insurance Limited;DRN-3981855
Klarna Bank AB (publ);DRN-3981858
Royal & Sun Alliance Insurance Limited;DRN-3981885
Liverpool Victoria Financial Services Limited;DRN-3981903
Santander UK Plc;DRN-3981992
U K Insurance Limited;DRN-3982044
CB Payments Ltd;DRN-3982104
TSB Bank plc;DRN-3982135
Landmark Mortgages Limited;DRN-3982218
John Joseph Financial Services Limited;DRN-3982221
HSBC UK Bank Plc;DRN-3982273
The Royal Bank of Scotland Plc;DRN-3982326
TRANSUNION INTERNATIONAL UK LIMITED;DRN-3982346
Home Retail Group Card Services Limited;DRN-3982350
Admiral Insurance (Gibraltar) Limited;DRN-3982362
John Lewis Financial Services Limited;DRN-3982391
National Savings and Investments;DRN-3982409
QIC Europe Ltd;DRN-3982416
Admiral Insurance (Gibraltar) Limited;DRN-3982432
TSB Bank plc;DRN-3982437
PensionBee Limited;DRN-3982448
Elderbridge Limited;DRN-3982461
Halifax Share Dealing Limited;DRN-3982485
Nationwide Building Society;DRN-3982527
Lloyds Bank PLC;DRN-3982558
National Westminster Bank Plc;DRN-3982579
National Westminster Bank Plc;DRN-3982587
Shawbrook Bank Limited;DRN-3982619
The National Farmers' Union Mutual Insurance Society Limited;DRN-3982631
Bank of Scotland Plc;DRN-3982662
Barclays Bank UK PLC;DRN-3982685
Barclays Bank UK PLC;DRN-3982733
Vanquis Bank Limited;DRN-3982740
Lloyds Bank PLC;DRN-3982744
Ikano Bank AB (publ);DRN-3982777
Clydesdale Bank Plc;DRN-3982778
Lloyds Bank PLC;DRN-3982801
Lloyds Bank PLC;DRN-3982884
Capital One (Europe) plc;DRN-3982890
TSB Bank plc;DRN-3982901
Revolut Ltd;DRN-3982940
AXA Insurance UK Plc;DRN-3983005
BMW Financial Services(GB) Limited;DRN-3983007
Wise Payments Limited;DRN-3983011
AWP P&C SA;DRN-3983022
Legal and General Assurance Society Limited;DRN-3983041
My Policy Ltd;DRN-3983052
Royal & Sun Alliance Insurance Limited;DRN-3983066
Revolut Ltd;DRN-3983076
NRAM Limited;DRN-3983082
Vitality Life Limited;DRN-3983100
National Westminster Bank Plc;DRN-3983105
Options UK Personal Pensions LLP;DRN-3983110
Nationwide Building Society;DRN-3983121
Barclays Bank UK PLC;DRN-3983128
Advanced Payment Solutions Limited;DRN-3983138
Advanced Payment Solutions Limited;DRN-3983143
Revolut Ltd;DRN-3983153
Cleveland Wealth Management Ltd;DRN-3983174
Santander Consumer (UK) Plc;DRN-3983207
Evergreen Finance London Limited;DRN-3983214
TTT Moneycorp Ltd;DRN-3983236
Lycetts Financial Services Limited;DRN-3983268
Lowell Financial Ltd;DRN-3983312
Sanderson Drake Limited;DRN-3983317
Monzo Bank Ltd;DRN-3983331
Barclays Bank UK PLC;DRN-3983352
Hargreaves Lansdown Asset Management Limited;DRN-3983363
Calpe Insurance Company Limited;DRN-3983374
Inter Partner Assistance SA;DRN-3983411
Nationwide Building Society;DRN-3983416
Options UK Personal Pensions LLP;DRN-3983421
Ald Automotive Limited;DRN-3983433
Santander UK Plc;DRN-3983440
Trading 212 UK Limited;DRN-3983523
Bank of Scotland Plc;DRN-3983537
One Call Claims Limited;DRN-3983546
esure Insurance Limited;DRN-3983566
Royal & Sun Alliance Insurance Limited;DRN-3983574
British Gas Insurance Limited;DRN-3983591
Santander UK Plc;DRN-3983629
Collinson Insurance Services Limited;DRN-3983661
QIC Europe Ltd;DRN-3983688
AXA Insurance UK Plc;DRN-3983719
Barclays Bank UK PLC;DRN-3983723
Barclays Bank UK PLC;DRN-3983748
SERENITY FINANCIAL PLANNING LTD;DRN-3983770
Saxo Capital Markets UK Limited;DRN-3983785
NewDay Ltd;DRN-3983798
Brewin Dolphin Limited;DRN-3983801
Idealing.com Limited;DRN-3983873
Vacation Finance Limited;DRN-3983875
Barclays Bank UK PLC;DRN-3983887
Revolut Ltd;DRN-3983897
Colbourne & Company;DRN-3983906
Bank of Scotland Plc;DRN-3983941
Royal & Sun Alliance Insurance Limited;DRN-3983954
Loans 2 Go Limited;DRN-3983960
Colbourne & Company;DRN-3984027
esure Insurance Limited;DRN-3984074
Colbourne & Company;DRN-3984080
Hoist Finance UK Limited;DRN-3984090
Bank of Ireland (UK) Plc;DRN-3984122
AXA Insurance UK Plc;DRN-3984131
Amtrust Europe Limited;DRN-3984167
Best Protect Online Limited;DRN-3984193
Shawbrook Bank Limited;DRN-3984233
Thinc Group Limited;DRN-3984267
First Complete Ltd;DRN-3984269
AXA Insurance UK Plc;DRN-3984279
PCF Bank Limited;DRN-3984288
Society of Lloyd's;DRN-3984292
Brightside Insurance Services Limited;DRN-3984348
Assurant General Insurance Limited;DRN-3984510
HSBC UK Bank Plc;DRN-3984579
Gain Credit LLC;DRN-3984586
Monzo Bank Ltd;DRN-3984599
Profile Financial Solutions Limited;DRN-3984685
Mitsubishi HC Capital UK Plc;DRN-3984701
American Express Services Europe Limited;DRN-3984702
Admiral Insurance (Gibraltar) Limited;DRN-3984716
Loyal Insurance Services Ltd;DRN-3984727
Moneybarn No. 1 Limited;DRN-3984755
American International Group UK Limited;DRN-3984779
Admiral Insurance (Gibraltar) Limited;DRN-3984781
Gain Credit LLC;DRN-3984861
British Gas Insurance Limited;DRN-3984884
The National Farmers' Union Mutual Insurance Society Limited;DRN-3984895
HSBC UK Bank Plc;DRN-3984906
HSBC UK Bank Plc;DRN-3984914
Royal & Sun Alliance Insurance Limited;DRN-3984998
ITC Compliance Limited;DRN-3985066
Lloyds Bank PLC;DRN-3985086
Barclays Bank Plc;DRN-3985087
Metro Bank PLC;DRN-3985093
Lloyds Bank PLC;DRN-3985132
First Data Europe Limited;DRN-3985133
CASLP Ltd;DRN-3985139
Mizrahi Tefahot Bank Limited;DRN-3985190
Advanced Payment Solutions Limited;DRN-3985191
Nationwide Building Society;DRN-3985211
Zurich Insurance PLC;DRN-3985212
Advantage Finance Ltd;DRN-3985226
Options UK Personal Pensions LLP;DRN-3985236
Admiral Insurance (Gibraltar) Limited;DRN-3985283
Oplo PL Ltd;DRN-3985419
Monzo Bank Ltd;DRN-3985433
Santander UK Plc;DRN-3985455
Chetwood Financial Limited;DRN-3985480
Moneybarn No. 1 Limited;DRN-3985514
HSBC UK Bank Plc;DRN-3985518
Haven Insurance Company Limited;DRN-3985577
Barclays Bank UK PLC;DRN-3985638
Society of Lloyd's;DRN-3985644
Clydesdale Bank Plc;DRN-3985648
RAC Insurance Limited;DRN-3985704
GE Money Consumer Lending Limited;DRN-3985726
Santander UK Plc;DRN-3985780
Chequers Wealth Management Limited;DRN-3985907
Admiral Insurance (Gibraltar) Limited;DRN-3985935
Nationwide Building Society;DRN-3985947
Bank of Scotland Plc;DRN-3985956
QIC Europe Ltd;DRN-3985973
Crowdcube Capital Limited;DRN-3985994
Vacation Finance Limited;DRN-3985998
Wirecard Card Solutions Limited;DRN-3986008
Usay Business Limited;DRN-3986021
Target Servicing Limited;DRN-3986041
AXA Insurance UK Plc;DRN-3986137
Lloyds Bank PLC;DRN-3986141
Santander UK Plc;DRN-3986144
AXA PPP Healthcare Limited;DRN-3986156
Great Lakes Insurance SE;DRN-3986163
ReAssure Limited;DRN-3986175
Aviva Insurance Limited;DRN-3986200
Advantage Insurance Company Limited;DRN-3986212
Aviva Insurance Limited;DRN-3986213
Mitsubishi HC Capital UK Plc;DRN-3986259
HSBC UK Bank Plc;DRN-3986300
AWP P&C SA;DRN-3986312
QIC Europe Ltd;DRN-3986317
Gallium Fund Solutions Limited;DRN-3986353
Bank of Scotland Plc;DRN-3986399
JN Bank UK Ltd;DRN-3986404
Domestic & General Insurance Plc;DRN-3986419
HSBC UK Bank Plc;DRN-3986432
Tesco Personal Finance PLC;DRN-3986446
Citibank UK Limited;DRN-3986448
Sainsbury's Bank Plc;DRN-3986460
Phoenix Life Limited;DRN-3986468
Link Financial Outsourcing Limited;DRN-3986473
Ikano Bank AB (publ);DRN-3986508
Bank of Scotland Plc;DRN-3986509
Barclays Bank UK PLC;DRN-3986512
HSBC UK Bank Plc;DRN-3986520
Lloyds Bank PLC;DRN-3986525
Everyday Lending Limited;DRN-3986544
Barclays Bank UK PLC;DRN-3986695
Options UK Personal Pensions LLP;DRN-3986718
HDI Global Specialty SE;DRN-3986743
DAS Legal Expenses Insurance Company Limited;DRN-3986817
HSBC UK Bank Plc;DRN-3986836
Mitsubishi HC Capital UK Plc;DRN-3986876
Tesco Personal Finance PLC;DRN-3986888
Bank of Scotland Plc;DRN-3986891
Citibank UK Limited;DRN-3986904
British Gas Insurance Limited;DRN-3986919
Coutts & Company;DRN-3986932
Options UK Personal Pensions LLP;DRN-3986985
HSBC UK Bank Plc;DRN-3987001
Liverpool Victoria Financial Services Limited;DRN-3987003
Nationwide Building Society;DRN-3987024
U K Insurance Limited;DRN-3987032
Oplo PL Ltd;DRN-3987052
Soteria Insurance Limited;DRN-3987058
MBNA Limited;DRN-3987086
MotoNovo Finance Limited;DRN-3987099
Co-op Insurance Services Limited;DRN-3987132
Metro Bank PLC;DRN-3987286
Revolut Ltd;DRN-3987289
Santander UK Plc;DRN-3987335
Lloyds Bank General Insurance Limited;DRN-3987355
National House-Building Council;DRN-3987364
Aviva Life & Pensions UK Limited;DRN-3987435
U K Insurance Limited;DRN-3987450
Hargreaves Lansdown Asset Management Limited;DRN-3987475
Options UK Personal Pensions LLP;DRN-3987651
U K Insurance Limited;DRN-3987714
AXA Insurance UK Plc;DRN-3987716
Oodle Financial Services Limited;DRN-3987727
TSB Bank plc;DRN-3987732
Aviva Insurance Limited;DRN-3987794
Admiral Insurance (Gibraltar) Limited;DRN-3987827
Lloyds Bank PLC;DRN-3987829
Bank of Scotland Plc;DRN-3987892
Lloyds Bank PLC;DRN-3987908
AXA Insurance UK Plc;DRN-3987944
Shawbrook Bank Limited;DRN-3988063
Barclays Bank UK PLC;DRN-3988082
Hatton James Legal Ltd;DRN-3988085
Family Finance Limited;DRN-3988116
Options UK Personal Pensions LLP;DRN-3988133
London Community Credit Union Limited;DRN-3988144
Steadypay Limited;DRN-3988168
Aviva Insurance Limited;DRN-3988175
HSBC UK Bank Plc;DRN-3988193
The Royal Bank of Scotland Plc;DRN-3988209
Mulsanne Insurance Company Limited;DRN-3988222
Volkswagen Financial Services (UK) Limited;DRN-3988243
Haven Insurance Company Limited;DRN-3988251
Barclays Bank UK PLC;DRN-3988287
Santander UK Plc;DRN-3988296
