Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning
DRN-3985638,Mr and Mrs L,Barclays Bank UK PLC,Banking,Unfair increase in monthly repayments for their offset mortgage.,Offset mortgage and linked current account with overdraft facility,"Offset mortgage, monthly payments, interest","Mortgage payments, interest calculation, communication",,,Do not uphold,Ruth Stevenson,30 March 2023,Increase in monthly mortgage payments,"Payments were increased without explanation despite making over £70,000 into the linked current account.",An explanation for the increased payments and a refund of any overpaid amounts.,Mr and Mrs L had an offset mortgage with Barclays and a linked current account with an overdraft facility. They complained that Barclays increased their monthly mortgage payments without explanation. Barclays explained that the payments were correct based on the way the accounts are intended to work and the information provided to Mr and Mrs L. The Ombudsman agreed with Barclays' explanation and found that the payments were correct.,The Ombudsman considered the information provided by both parties and found that the payments taken by Barclays were consistent with the way the accounts are intended to work and with the information provided to Mr and Mrs L. The Ombudsman also found that Barclays provided sufficient explanation for the increased payments.
DRN-3988287,Mr B and Mrs C,Barclays Bank UK Plc,Banking,Unauthorised transactions on their joint account using Mrs C's debit card,Joint account and debit card,"Unauthorised transactions, negligence, liability","Card security, customer responsibility, duty of care",3940,24 August 2021,Do not uphold,Ash Weedon,28 March 2023,Unauthorised transactions on Mrs C's debit card,Barclays' refusal to refund the unauthorised transactions and their alleged failure to protect their money,Refund of the unauthorised transactions and an acknowledgement of Barclays' negligence,"Mrs C's handbag containing her debit card and PIN was stolen from her locked car. Unauthorised transactions totalling £3,940 were made using her debit card a few hours later. Barclays initially gave Mr B and Mrs C a temporary refund, but it was re-debited following their investigation as they believed Mrs C had been negligent in keeping her PIN secure.","The Ombudsman found that Mrs C had likely kept a written record of her PIN in her handbag along with her card, which amounted to gross negligence. Although Barclays had initially refunded the unauthorised transactions, they were entitled to hold Mrs C liable for the loss as she had failed to keep her payment tools safe. The Ombudsman also found that Barclays did not have to do more to flag the disputed transactions as fraudulent as they were not out of the ordinary spending pattern on the account and were made using Mrs C's genuine card and PIN."
DRN-3991068,Ms M,Barclays Bank UK Plc,Banking,Poor customer service and handling of an incident at a branch,Banking services,"Customer service, incident handling, unprofessional staff","Customer mistreatment, staff behavior, branch management",,29 December 2022,Do not uphold,Kristina Mathews,10 April 2023,"Rude and unhelpful staff behavior, lack of intervention during a physical altercation with another customer, and inadequate response from the branch.",Traumatic experience due to poor customer service and lack of action to address the situation.,"Acknowledgement of the incident, apology, assurance of improved customer service, and learning from the mistakes to prevent similar incidents.","Ms. M visited a Barclays branch to make a deposit and encountered difficulties using the banking machine. She sought assistance from a staff member who was engaged with another customer. Ms. M alleges that the staff member was rude and unhelpful, leading to a verbal and physical altercation with the other customer. Despite the escalation, the staff member did not intervene and seemed to side with the other customers. Another staff member eventually helped Ms. M with her transaction.","The Ombudsman acknowledges the distressing experience of Ms. M but emphasizes that the investigation can only assess the actions of Barclays, not the other customer. Due to the lack of conclusive evidence, including unavailable CCTV footage, the Ombudsman cannot determine the exact sequence of events. While Barclays apologized and provided feedback to the branch manager, the Ombudsman finds their response reasonable under the circumstances. The absence of an obligation for the branch to call the police and the intervention of another staff member to complete the transaction are also considered. The Ombudsman concludes that there is insufficient evidence to suggest unfair or unreasonable behavior by Barclays."
DRN-4000853,Miss G,Barclays Bank UK PLC (Barclays),Banking,Barclays wrongly sent her bank statements to an old address.,Bank statements,"Bank statements, old address, distress","Incorrect mailing of statements, failure to update customer contact information, distress caused to customer",,,uphold,Marc Kelly,24 May 2023,Incorrectly sending bank statements to an old address,Distress and inconvenience caused by the bank's mistakes,Compensation and assurance that the issue would not happen to others,"Miss G complained that Barclays continued to send her bank statements to an old address after she had requested online-only statements. Barclays acknowledged the error and offered £200 in compensation, but Miss G felt this was insufficient. The Ombudsman agreed that £400 was a more appropriate amount of compensation, but could not order Barclays to change its policies to prevent the issue from happening to others.","The Ombudsman found that Barclays was at fault for sending the statements to the wrong address and that the £200 offered in compensation was not sufficient. However, the Ombudsman could not order Barclays to change its policies as this was outside of their jurisdiction."
DRN-4009681,Miss P,Barclays Bank UK PLC (trading as Barclaycard),Banking,The way Barclays Bank UK PLC handled her credit card payments when she was unable to make them due to financial difficulty.,Credit card,"['Breathing space', 'Missed payments', 'Default notice']","['Communication between the complainant and Barclays', ""Barclays' handling of the complainant's financial difficulty"", ""The fairness of Barclays' actions""]",,,Do not uphold,Carole Clark,23 May 2023,Barclays' handling of her credit card payments when she was unable to make them due to financial difficulty.,She felt that Barclays did not treat her fairly or compassionately when she was struggling to make her credit card payments.,"She wanted Barclays to freeze her account, with no payments due, and then allow her the time to catch up with the arrears once she started work.","Miss P missed several credit card payments and Barclays put her account on hold for several months. After the minimum payment was missed for four months, the card was canceled and a default notice was sent. Miss P paid off the arrears in full and made an arrangement to pay £79 per month. She complained that Barclays did not treat her fairly or compassionately and that she was not given a decent grace period.",The Ombudsman found that Barclays had acted within the terms and conditions of the credit card agreement and that it was reasonable for Barclays to issue a default notice after four missed payments. The Ombudsman also found that Barclays had tried to assist Miss P and had not put any pressure on her to make payments she could not afford.
DRN-4012357,Mr and Mrs P,Barclays Bank UK PLC,Banking,"Barclays failed to credit their joint account with the requisite number of shares and warrants, preventing them from disposing of the shares and warrants, resulting in financial loss.",Smart investor platform,"Shares, warrants, delay","Failure to credit shares and warrants, Lack of communication, Delay in resolving the issue",,7 May 2021,uphold,Dara Islam,6 April 2023,"Failure to credit shares and warrants, Lack of communication, Delay in resolving the issue",Financial loss due to delay in crediting shares and warrants,Compensation for financial loss and distress,"Mr and Mrs P held a joint account with Barclays' smart investor platform and had a holding in URA Holdings plc (URA). On 7 May 2021, URA made an in-specie distribution of shares and warrants in Ananda Developments (Ananda) to URA shareholders. Mr P claims that their account should have been credited with the respective shares and warrants shortly after, but it wasn't. Despite contacting Barclays multiple times, the issue remained unresolved, and the value of the shares and warrants decreased significantly.","The Ombudsman acknowledged the inconvenience and distress caused to Mr and Mrs P due to the delay in crediting their shares and warrants. However, the Ombudsman found that Barclays was not solely responsible for the delay, as it was likely caused by issues with third-party businesses and registrars. While Barclays could have done more to manage expectations and communicate better, the £350 compensation offered by Barclays was deemed fair and reasonable under the circumstances."
DRN-4024773,Mrs G,Barclays Bank UK PLC trading as Barclaycard,Banking,Barclays asking her to fill in an income and expenditure form when she contacted it about arranging a paydown plan for her credit card.,Credit card,"income and expenditure form, paydown plan, persistent debt","request for personal financial information, paydown plan setup process, communication between the bank and the customer",300,,dont uphold,John Quinlan,21 July 2023,request for income and expenditure form to set up a paydown plan,she didn't want to give Barclays private financial details,"Barclays to arrange the paydown plan, resolve the issue of lost time at the lower interest rate, and £300 compensation","Mrs. G contacted Barclays about a paydown plan for her credit card but was asked to fill in an income and expenditure form, which she refused to do. She complained to the FOS, arguing that Barclays acted unfairly by requiring this information.","The Ombudsman considered the relevant industry guidelines and concluded that Barclays had acted reasonably and fairly in requesting the income and expenditure information. While the complainant had concerns about privacy, the information was necessary for Barclays to assess her financial situation and set up the paydown plan. The Ombudsman also noted that Barclays later relaxed its requirements and was able to agree on a paydown plan without the need for the form."
DRN-4034230,Mr C,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC administered his mortgage incorrectly.,Mortgage,"['mortgage', 'reserve facility', 'repayment']","['mortgage administration', 'customer service', 'financial loss']",,,uphold,Ken Rose,19 April 2023,Incorrect mortgage administration by Barclays Bank UK PLC,Barclays treated his mortgage as redeemed and asked him to repay the mortgage current account reserve facility.,"Reinstatement of the mortgage and the reserve facility, compensation for financial loss, distress and inconvenience, and an apology from Barclays.","Mr. C had a mortgage with Barclays that included a mortgage current account reserve facility. In 2017, he extended the term of the mortgage to 2029 and intended to continue using the reserve facility. However, in 2022, Barclays contacted him and said he needed to repay the reserve balance of around £22,000. Mr. C complained that this was a mistake as he never intended to repay the mortgage and wanted to keep it to continue using the reserve facility.","The Ombudsman found that Barclays did not act fairly or reasonably in 2022 when it told Mr. C he must repay the mortgage, including the reserve. The Ombudsman considered that it would be fair for Barclays to reinstate the mortgage and the reserve on the same terms with an end date of 16 March 2029. The Ombudsman also found that Barclays had not treated Mr. C fairly and awarded him £600 for distress and inconvenience."
DRN-4036884,Mr K,Barclays Bank UK PLC,Financial services,"Barclays released the mortgage funds late, causing him to incur late completion penalties; and Barclays didn't tell him the property he was buying had been down-valued.",Mortgage,"mortgage, valuation, compensation","late completion penalties, down-valuation, opportunity to negotiate",,,uphold,Jeff Parrington,18 April 2023,Barclays' failure to release mortgage funds on time and failure to disclose a down-valuation of the property.,"Mr. K feels that he paid too much for the property and lost out on the opportunity to apply for a £3,000 bonus on his help-to-buy ISA savings.","Compensation for the late completion penalties, the difference between the purchase price and the down-valued value, and the lost bonus.","Mr. K took out a mortgage with Barclays to purchase a 25% share in a property. Barclays failed to release the mortgage funds on time, resulting in late completion penalties for Mr. K. Additionally, Barclays did not disclose a down-valuation of the property, which Mr. K believes affected his ability to negotiate a lower purchase price.","The Ombudsman found that Barclays was at fault for failing to release the mortgage funds on time and for not disclosing the down-valuation. However, the Ombudsman did not find that Mr. K was entitled to the full amount of compensation he was seeking, as it could not be definitively proven that he would have been successful in negotiating a lower purchase price."
DRN-4041192,Miss M,Barclays Bank UK Plc (Barclays),Banking,"Barclays restricted access to her foreign currency account due to inactivity, making the account dormant.",Foreign currency account,"Dormant account, Inactivity, Access restriction","Account dormancy, Customer communication, Service quality",,,uphold in part,Kristina Mathews,19 April 2023,Barclays' decision to make Miss M's foreign currency account dormant due to inactivity and the inconvenience caused by the process.,Miss M felt that Barclays had given her wrong information about the status of the account and that they had wasted her time. She also believed that Barclays should have considered her active relationship with the bank through another account and the Dormant Bank and Building Society Accounts Act 2008.,"Miss M wanted Barclays to reactivate her account, compensate her for the inconvenience faced, and review their policies and procedures to ensure better customer service.","Barclays restricted access to Miss M's foreign currency account due to inactivity, considering it dormant. Miss M argued that she had attempted to withdraw funds in March 2022 but was misinformed by a Barclays staff member, leading to an unnecessary visit to the branch. She also raised concerns about the time taken to regain access to her funds and the impact on the exchange rate.","The Ombudsman found that while Barclays acted within their rights and industry practices in making the account dormant, there were some shortcomings in customer service. The Ombudsman acknowledged the inconvenience caused to Miss M due to the misleading information provided by the staff member and awarded her an additional £50 compensation for the unnecessary branch visit. However, the Ombudsman upheld Barclays' decision to make the account dormant as there was no transaction made to prevent the dormancy process."
DRN-4059200,Miss M,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC's refusal to refund money lost in a potential scam.,Bank account,"APP scam, CRM Code, Receiving Firm","Contingent Reimbursement Model, Authorized Push Payment, Buyer-seller dispute",7250,,Do not uphold,Staci Rowland,29 December 2023,"Miss M's complaint relates to Barclays Bank UK PLC's refusal to refund money she lost after falling victim to a potential scam, where she sent money to an account held at Barclays.","Miss M believes that Barclays, as the Receiving Firm, is liable for the money she lost due to the scam.",Miss M wants Barclays to refund the money she lost in the potential scam.,"Miss M sent a total of £7,250 to RB, a company she believed was involved in property investment, in three payments between January and March 2020. She made these payments from an account she held with a different banking provider to an account held with Barclays. Miss M complained to her bank and raised concerns about Barclays via the Financial Ombudsman Service. Barclays investigated and concluded that it was a buyer-seller dispute and that it was not liable for any loss Miss M incurred.","The Ombudsman considered the Contingent Reimbursement Model (CRM) Code, which Barclays is a signatory of, and determined that it does not apply in the circumstances of the payments Miss M made. The Ombudsman concluded that the payments were not made as a result of a scam or fraud and that RB was likely a firm that encountered financial difficulty rather than a fraudulent business. Therefore, the Ombudsman could not safely conclude that Miss M was the victim of a scam and could not apply the CRM Code to ask Barclays to refund Miss M."
DRN-4063968,Mr S,Barclays Bank UK PLC,Banking,Misrepresentation of a loan as a top-up loan when it was actually a new loan.,Loan,"Top-up loan, Misrepresentation, Loan agreement","Misleading information, Loan terms, Financial agreement",,,Dont uphold,Phillip McMahon,18 September 2023,The complainant believed he was signing up for a top-up loan but was actually agreeing to two separate loans.,The complainant states that he was misled by the information provided by Barclays and that he did not intend to take out a new loan.,The complainant wants Barclays to acknowledge the mistake and rectify the situation.,"The complainant received an email from Barclays offering a top-up loan with a slightly increased monthly payment and a longer repayment term. He followed the link in the email and signed up for the loan, believing it to be a top-up. However, he later realized that it was a new loan with different terms and higher monthly payments.","The Ombudsman considered the evidence and concluded that the information provided in the welcome letter for the new loan was clear and sufficient to indicate that it was a new loan, not a top-up. Therefore, the Ombudsman did not find Barclays to be at fault and did not uphold the complaint."
DRN-4064008,Mr M,Barclays Bank UK PLC,Banking,Unauthorised overdraft charges and default on credit file due to insurance policy payment,Current account and mobile phone insurance policy,"Overdraft, insurance policy, credit file","Unauthorised charges, default on credit file, communication between bank and customer",,1 December 2020,Do not uphold,Richard Wood,10 August 2023,Overdraft charges and default on credit file,"Barclays should have cancelled the insurance policy instead of allowing the payment to exceed the overdraft limit, which resulted in unauthorised charges and a default on his credit file.","Removal of adverse data from credit file, compensation for inconvenience","Mr M's account was overdrawn by £14.50 after his monthly insurance policy payment was debited, leading to unauthorised overdraft charges and a default on his credit file. He argued that Barclays should have cancelled the insurance policy instead. Barclays maintained that it was Mr M's responsibility to cancel the policy and that he was aware of the overdraft and charges as he frequently logged into his online banking.","The Ombudsman agreed with Barclays that it was not their responsibility to unilaterally cancel the insurance policy and that Mr M should have taken action if he could not afford the payments. The Ombudsman also found that Mr M was aware of the overdraft and charges as he logged into his account regularly. Therefore, the overdraft and default markers on his credit file were accurate and there were no grounds to remove them."
DRN-4080586,Mr J and the estate of Mrs J,Barclays Bank UK PLC,Banking,Unsuitability of investment advice received from Barclays Bank UK PLC,Barclays Personal Investment Management portfolio (BPIM),"Investment advice, suitability, medium risk","Risk assessment, suitability of advice, compensation",,,uphold,James Harris,11 July 2023,The suitability of investment advice received from Barclays Bank UK PLC.,"They were advised to invest in a medium risk portfolio, which they believe was unsuitable given their circumstances.",Compensation for the losses incurred as a result of the unsuitable advice.,"Mr and Mrs J were advised to invest in a medium risk portfolio, despite their lack of investment experience and reliance on the lump sum for their financial security. The ombudsman found that this advice was unsuitable and awarded compensation to Mr J and the estate of Mrs J.",The ombudsman found that the advice to invest in a medium risk portfolio was unsuitable for Mr and Mrs J's circumstances. He considered that they were not experienced investors and that the lump sum was an important source of income for them. He also noted that the adviser had not adequately explained the risks involved in investing at a medium risk level.
DRN-4086014,S,Barclays Bank UK PLC,Banking,"Mishandling of mandate change, freezing of account, and delaying of CHAPS payments",Business bank account and CHAPS payment service,"Mandate change, account freeze, CHAPS payment delays","Banking services, customer service, financial loss",,,uphold in part,Andy Wright,18 May 2023,"Mishandling of mandate change, freezing of account, and delaying of CHAPS payments","Financial loss, inconvenience, and reputational damage caused by the mishandling of banking services",Compensation for the losses and inconvenience caused,"Barclays mishandled a mandate change request, froze the complainant's account due to fraud concerns, and delayed some of their CHAPS payments due to security checks. The complainant claimed that these issues caused financial losses, reputational damage, and inconvenience.","The Ombudsman found that Barclays was partly responsible for the delay in the mandate change but the complainant did not suffer any direct loss as a result. The Ombudsman also found that Barclays acted appropriately in freezing the account and delaying payments due to fraud checks. Therefore, the Ombudsman upheld the complaint in part and required Barclays to pay the complainant £200 for the inconvenience caused by the delay in the mandate change."
DRN-4101892,Mr T,Barclays Bank UK PLC (trading as Barclaycard),Banking,"Unclear, unfair, and misleading correspondence from Barclaycard regarding the outcome of chargebacks.",Credit card,"Chargebacks, Correspondence, Clarity","Chargeback handling, Communication with customers, Default process",,,Do not uphold,Sophie Mitchell,8 June 2023,"The complaint relates to the clarity, fairness, and accuracy of the information provided by Barclaycard in its final response letter regarding the outcome of two chargebacks raised by Mr. T.","Mr. T believes that the unclear information in Barclaycard's letter misled him about the status of his chargebacks, affecting his ability to defend his claims and potentially pursue a Section 75 claim under the Consumer Credit Act 1974.",Mr. T seeks compensation for the detriment caused by the unclear information and a change or removal of the default recorded on his account.,"Mr. T raised two chargebacks with Barclaycard in 2019, which were partially successful. However, he claims that Barclaycard's final response letter regarding the chargebacks contained unclear and misleading information, leading to confusion about the actual amount refunded. This confusion allegedly affected his ability to challenge the merchant and potentially pursue a Section 75 claim. Mr. T also disputes the default of his account, stating that he requested repayment plans or a payment holiday during the COVID pandemic but was denied.","The Ombudsman acknowledges that Barclaycard's final response letter could have been clearer but concludes that the unclear information did not significantly impact Mr. T's ability to defend his chargeback claims or pursue a Section 75 claim. The Ombudsman also finds that the default process was carried out fairly and that Mr. T was given clear information about the missed payments and the outstanding balance. Therefore, the Ombudsman does not uphold the complaint."
DRN-4102349,Mr C,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC allowed a £9.45 payment to go through on his Barclaycard after he had closed the account.,Barclaycard,"['Barclaycard', 'payment', 'closed account']","['Account closure', 'Unauthorised transaction', 'Credit file impact']",25000,,do not uphold,Belinda Knight,31 July 2023,Unauthorised transaction and its impact on credit file and mortgage application,"He was declined by High Street lenders, including his existing mortgage lender, because of missed payments on his credit file.","£25,000 compensation from Barclays.","Mr. C closed his Barclaycard account in February 2022 with a zero balance. However, a £9.45 transaction went through on his account on 6th February. He disputed the transaction in September 2022 claiming that he had closed the account and was unaware of the transaction. Barclays investigated and found that Mr. C had made another transaction on 16th February, indicating that he was aware that the account was still open. Barclays also provided evidence of multiple missed payment letters sent to Mr. C prior to February 2022.","The Ombudsman considered the evidence and concluded that Mr. C should have known that the account was not closed as there was another transaction after the disputed one. The Ombudsman also noted that Barclays had sent multiple missed payment letters to Mr. C in the past, indicating a history of payment problems. The Ombudsman concluded that it was unlikely that the declined mortgage application was solely due to the disputed transaction and that Barclays had already paid Mr. C £25 for customer service which was considered generous."
DRN-4109983,Miss H,Barclays Bank UK PLC (Barclays),Banking,Barclays Bank UK PLC (Barclays) disclosed her new address to a third-party when she contacted it to update her address details.,Current account,"Data breach, distress, compensation","Data protection, customer service, financial loss",5000,,uphold,Sophie Wilkinson,31 May 2023,Data breach,"The data breach caused her distress and inconvenience, and she felt that the compensation offered by Barclays was insufficient.","She wanted Barclays to pay for the cost of a non-molestation order, a security system for her home, and compensation for the distress and inconvenience caused.","Miss H moved home and updated her address with Barclays. However, due to a mistake, her new address was disclosed to a family member with whom she has a difficult relationship. This caused her distress and inconvenience, as the family member turned up at her new home and has been sending her letters. Barclays offered her £5,000 in compensation, but she felt this was insufficient.","The Ombudsman found that Barclays was at fault for disclosing Miss H's new address and that this had caused her distress and inconvenience. He agreed that the £5,000 compensation offered by Barclays was fair, but he also ordered Barclays to pay for the cost of a security system for Miss H's home or to reimburse her moving costs if she decided to move."
DRN-4121875,G,Barclays Bank UK PLC,Banking,Barclays' failure to protect them from a scam payment and refusal to reimburse the lost money.,Online payment,"Fraud, Payment, Scam","Payment protection, Fraud prevention, Customer responsibility",76000,14 April 2022,Do not uphold,Paul Cooper,7 June 2023,Payment protection and reimbursement of money lost due to a scam.,Barclays' alleged failure to provide adequate warnings and take necessary actions to prevent the fraudulent payment.,Reimbursement of the lost money and acknowledgement of Barclays' responsibility in the incident.,"G made an online payment of £76,000 to a fraudulent recipient due to an intercepted invoice. Despite being notified of the potential fraud by the recipient bank, Barclays did not take immediate action, resulting in G's inability to recover the funds.","The Ombudsman considered the circumstances of the case and determined that Barclays did not have sufficient reason to suspect the payment as fraudulent based on the information available. The payment amount and pattern were not unusual, and there were no domestic recipient confirmation checks in place for overseas payments. While sympathizing with G's situation, the Ombudsman concluded that Barclays did not act unfairly or contribute to the loss of funds."
DRN-4124086,Mrs K,Barclays Bank UK Plc,Banking,Barclays Bank UK Plc can't locate funds held with them since 1989.,Bank account,"missing funds, dormant account, freezing order","access to funds, tracing missing funds, record keeping",23500,,do not uphold,Thom Bennett,16 June 2023,Barclays Bank UK Plc's inability to locate funds held with them since 1989.,She has not had access to the funds since a freezing order was obtained in May 1989.,She wants the money returned to her.,"In 1989, Mrs. K received £23,500 from the proceeds of a property sale. However, a third party obtained a freezing order on the funds, and she has not been able to access them since then. She contacted Barclays in 2020 to find her funds, but the bank was unable to locate them. Mrs. K believes that the search was not sufficient, and she referred the complaint to the Financial Ombudsman Service.","The Ombudsman considered the available evidence and concluded that Barclays is not currently holding on to Mrs. K's funds. The last firm record of the money being held is a freezing order from May 1989. Barclays has not been able to provide any further statements for this account, and the Ombudsman finds this reasonable considering the passage of time. The Ombudsman also considered Mrs. K's historical statements, but they do not suggest that Barclays is still holding on to the funds. The Ombudsman is satisfied that Barclays has carried out sufficient searches for any other accounts held by Mrs. K, and there are no records for her account on the dormancy register. While the ultimate fate of the funds cannot be determined, the Ombudsman concludes that it is not reasonable to ask Barclays to do anything further."
DRN-4125079,Mr M,Barclays Bank UK PLC,Banking,Barclays went back on an agreement to let him switch to a new fixed interest rate product on his mortgage after his partner had passed away.,Residential mortgage,"Mortgage, Interest rate, Bereavement","Mortgage product switch, Communication delays, Compensation",20000,,opposite,Julia Wilkinson,27 October 2023,Mortgage interest rate switch,"Barclays failed to honour the interest rate he applied for in August 2022, causing him financial loss.",He wanted Barclays to honour the interest rate he applied for in August 2022 and compensate him for the inconvenience caused by the delays.,"Mr. M's partner passed away in September 2021. He claims that Barclays told him at that time that he would be able to switch his mortgage to a new fixed interest rate within 18 months of his partner's death without going through an affordability assessment or incurring an early repayment charge (ERC). In August 2022, he applied for a new rate but was informed that he needed to go through a transfer of equity (TOE) application and an affordability assessment, and that he would have to pay the ERC if he wanted to switch before the existing deal ended. He complained to Barclays and the Financial Ombudsman Service.","The Ombudsman found that Barclays should have explained to Mr. M that a TOE was required before he could complete a rate switch application and that he would have to pay the ERC if he switched before the existing deal ended. However, the Ombudsman also found that Barclays did not guarantee that the August 2022 application would be successful and that it was reasonable for them to check Mr. M's entitlement to his late partner's share of the property and his ability to afford the mortgage on his own. Therefore, the Ombudsman concluded that it would not be fair to require Barclays to honour the rate Mr. M applied for in August 2022."
DRN-4133824,Mrs W,Barclays Bank UK PLC,Banking,"Barclays re-debited a temporary refund of £7,581 from Mrs W's account, causing her financial difficulty and an overdraft.",Debit card,"Chargeback dispute, Refund, Overdraft","Chargeback process, Travel agency refund policy, Overdraft fees and interest",1375,1 June 2021,uphold,Richard Wood,24 July 2023,"The re-debiting of a temporary refund, the outcome of a chargeback dispute, and the delay in resolving the complaint.",She was entitled to a full refund for her cancelled flights and the chargeback dispute was not pursued properly by Barclays.,"A full refund of £7,581, compensation for the overdraft and its consequences, and an apology for the poor service.","Mrs W raised a chargeback dispute with Barclays for a cancelled flight. Barclays initially credited her account with the disputed amount but later reversed the credit and debited her account, causing an overdraft. She complained about the re-debiting and the outcome of the chargeback dispute. After some back and forth, the Ombudsman found in her favor and ordered Barclays to pay her compensation.","The Ombudsman agreed that Barclays should have pursued the chargeback dispute further and that the travel agency was liable to refund Mrs W regardless of whether it had been refunded by the airline. However, since Mrs W had already received a partial refund from the travel agency, the Ombudsman awarded her the shortfall of £1,375 plus interest and additional compensation for the inconvenience caused."
DRN-4147576,B,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC blocked its account causing business disruption and loss and didn't deal with disputed transactions on the account.,Business bank account,"Account access, disputed transactions, business disruption","IT issues, disputed transactions, communication issues",50000,,uphold in part,Michael Crewe,11 September 2023,Barclays Bank UK PLC blocked its account causing business disruption and loss and didn't deal with disputed transactions on the account.,"The complainant stated that the account had been blocked since November 2021, affecting its business and causing health issues for the director.","The complainant wanted Barclays to unblock the account, investigate the disputed transactions, and compensate for the losses incurred.","Barclays blocked B's account due to an IT issue and failed to resolve the problem promptly. B claimed that it couldn't access the account online, which affected its ability to trade and sell its stock. Barclays sent a final response letter on 31 January 2022, offering £100 compensation and stating that the online access issue had been resolved. B disputed this and requested an ombudsman review.","The Ombudsman found that Barclays was at fault for the IT issue that affected B's online access to the account. However, the Ombudsman could not find evidence that the IT issue prevented B from receiving payments or selling its stock. The Ombudsman also noted that B did not promptly highlight the disputed transactions to Barclays. Therefore, the Ombudsman upheld the complaint in part and recommended an additional £200 compensation to B, bringing the total compensation to £300."
DRN-4150896,Mr M,Barclays Bank UK PLC,Banking,Barclays didn't do enough to protect him from a scam and wants a refund of all the money he lost.,Cryptocurrency investment,"scam, cryptocurrency, payments","fraud prevention, liability for payments, recovery of funds",9040,September 2020,opposite,Claire Pugh,25 August 2023,"Barclays' failure to prevent Mr. M from making payments to a scammer, resulting in financial loss.",Barclays didn't do enough to protect him from the scam and wants a refund of all the money he lost.,A full refund of the money lost to the scam.,"Mr. M was scammed into investing in cryptocurrency and lost \u00a39,040. He reported the scam to Barclays and complained that they hadn't done enough to protect him. Barclays upheld his complaint in part and refunded him 50% of the money he had lost, plus interest and \u00a3200 compensation.","The Ombudsman agreed with Barclays that Mr. M authorized the payments and is therefore presumed liable for the loss. While Barclays should have taken proactive steps to identify and prevent potentially fraudulent transactions, the payments made by Mr. M were not sufficiently unusual or suspicious to warrant intervention by the bank. Therefore, the Ombudsman found that Barclays was not obliged to have gotten in touch with Mr. M about the payments and did not miss an opportunity to prevent them."
DRN-4154987,Mr C,Barclays Bank UK PLC (Barclays),Banking,Barclays restricted and closed his accounts without explanation.,Personal bank account,"Account closure, Lack of explanation, Poor communication","Account management, Customer service, Banking regulations",,August 2022,uphold in part,Ketan Nagla,28 December 2023,The complainant's personal bank accounts with Barclays Bank UK PLC (Barclays) were restricted and subsequently closed without any explanation provided by the bank.,The complainant felt that Barclays' actions were unfair and that he was entitled to an explanation for the restrictions and closure of his accounts.,"The complainant wanted an explanation from Barclays for the restrictions and closure of his accounts, as well as compensation for the inconvenience and distress caused.","In August 2022, the complainant attempted to make a payment using his debit card but it was declined. He contacted Barclays and was informed that his account had been blocked and was under investigation. The accounts were unblocked a few days later, but in September 2022, the complainant received a letter stating that his accounts would be closed within 62 days. Barclays claimed that the decision to close the accounts was made after an internal review and that they were unable to provide a specific explanation due to legal and regulatory obligations. The complainant disputed this, stating that he had not breached any rules or terms of the accounts.","The Ombudsman acknowledged that banks are subject to legal and regulatory obligations and that Barclays had acted within its rights to restrict and close the complainant's accounts. However, the Ombudsman found that Barclays had failed to properly communicate the reasons for the account closure to the complainant, despite assurances that an explanation would be provided. The Ombudsman determined that this lack of communication had caused inconvenience and distress to the complainant and awarded him £50 in compensation."
DRN-4155718,Mrs S,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC closed her savings account in error.,Savings account,"account closure, address change, communication failure","account management, customer service, communication",12,25 February 2023,uphold,Marco Manente,31 October 2023,Closure of savings account,Barclays closed her account without notice and failed to reopen it promptly despite her repeated requests.,"Reopen the account, compensation for inconvenience","Mrs. S updated her UK address with Barclays in July 2022 but the bank did not receive the update. Barclays continued to send letters to her old address and eventually closed her account due to lack of response. Mrs. S complained and Barclays reopened the account and offered her £50 compensation, which she rejected.","The Ombudsman found that Barclays did not receive Mrs. S's address update and therefore was not at fault for closing the account. However, the Ombudsman also found that Barclays failed to take reasonable steps to reopen the account promptly and caused Mrs. S inconvenience. The Ombudsman considered £100 compensation offered by Barclays to be fair and reasonable and did not uphold the complaint."
