Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning
DRN-3932527,Mr and Mrs T,Lloyds Bank PLC,Banking,Lloyds Bank PLC hasnt refunded money they lost to a scam.,Current account,"APP scam, reasonable basis for belief, CRM Code","Reimbursement of fraudulent payments, Customer due diligence, Bank's liability for customer losses",12982.0,,not uphold,Neil Bridge,13 October 2023,Refusal of the bank to refund money lost to a scam.,"The bank did not refund the money lost to a scam, despite the customer being a victim of an APP scam.",Refund of the money lost to the scam.,"Mr and Mrs T lost £12,982 to a scam after being tricked into making payments from their Lloyds account. Lloyds refunded half of the first two payments (£2,616) and paid an additional £100 compensation for service issues. Mr and Mrs T complained to the Financial Ombudsman Service when Lloyds refused to refund the remaining amount.","The Ombudsman found that Mr T did not have a reasonable basis for believing that his payments were for genuine goods or services, or that the person or business with whom he transacted was legitimate. Therefore, Lloyds was entitled to rely on the reasonable basis for belief CRM Code exception and was not required to refund the remaining amount."
DRN-3936424,Mr N,Lloyds Bank PLC,Banking,"Lloyds Bank PLC ignored his attempts to make repayments and settlement offers in relation to his Coronavirus Business Interruption Loan (CBIL). He also says that the bank opened the loan in his name, when it should have been in the name of a limited liability partnership (LLP).",Coronavirus Business Interruption Loan (CBIL),"CBIL, settlement offer, communication","Loan setup, Repayment difficulties, Communication issues",25001.0,,opposite,Louise Bardell,23 August 2023,"The complaint related to the setup, repayment, and communication issues regarding a Coronavirus Business Interruption Loan (CBIL) obtained by Mr. N from Lloyds Bank PLC.",Mr. N believed that the loan should have been in the name of a limited liability partnership (LLP) and that the bank had ignored his attempts to make repayments and settlement offers.,"Mr. N wanted the loan to be written off, as he believed it should have been in the name of the LLP, and he also sought a fair resolution to the repayment issue.","Mr. N, a sole trader, applied for a CBIL through Lloyds Bank PLC. He later faced difficulties in repaying the loan and made settlement offers, which the bank did not respond to. Mr. N argued that the loan should have been in the name of an LLP, not his sole trader name. The bank acknowledged communication issues but maintained that the loan was set up correctly based on the application.","The Ombudsman found that while there were communication issues on the bank's part, they did not significantly impact the outcome. The Ombudsman considered the fact that the loan was used by Mr. N's business and that he had acknowledged liability through his actions. The Ombudsman concluded that it would not be fair to write off the loan based on the LLP issue, as the funds were utilized by the business."
DRN-3944225,Mr M,Lloyds Bank PLC,Banking,Service received from Lloyds Bank PLC surrounding a payment he attempted to make which was blocked by Lloyds.,Payment,"Payment blocked, poor service, compensation","Payment blocking, customer service, compensation",,,Do not uphold,Paul Cooper,14 March 2023,"Payment blocked by the bank, poor customer service",Inconvenience caused by the blocked payment and poor customer service,An apology and compensation for the inconvenience and distress caused.,"Mr. M attempted to make a payment using his Lloyds account but the payment was blocked by the bank's automated fraud prevention system. He was later able to complete the payment but was unhappy with the service he received from Lloyds staff. Lloyds apologized and offered him £30 as compensation, which he rejected.","The Ombudsman considered the evidence and concluded that Lloyds Bank acted reasonably in blocking the payment due to potential fraud concerns. He also found that Lloyds responded appropriately by lifting the block after verifying the payment and that the £30 compensation offered was fair for the inconvenience caused. Therefore, the complaint was not upheld."
DRN-3950234,Mr E,Lloyds Bank PLC,Banking,Reduction of credit card limit,Credit card,"Credit limit, reduction, unfair","Credit limit reduction, Communication from the bank, Financial review",,,Do not uphold,Danielle Padden,27 March 2023,Unfair reduction of credit card limit by Lloyds Bank PLC,He had more than enough to repay the borrowing and had never missed a credit card payment.,Reinstatement of the previous credit limit,"Lloyds Bank reduced Mr. E's credit card limit without prior notice. Mr. E complained that this was unfair as he believed he had sufficient means to repay the borrowing and had a good payment history. Lloyds explained that they regularly review credit limits and based on their assessment, they found it may have been difficult for Mr. E to repay the amount he was borrowing. They also conducted a financial review in January 2023 but were unable to increase the limit due to adverse information on Mr. E's credit file.",The Ombudsman agreed with Lloyds Bank's decision as the terms and conditions of Mr. E's credit card account allowed the bank to change the credit limit at any time. The bank followed the correct process by informing Mr. E about the reduction on the same day and providing a reason for it. The Ombudsman also acknowledged that Lloyds conducted a financial review and explained the reasons for not being able to increase the credit limit at that time.
DRN-3950817,Miss B and Mr S,Lloyds Bank PLC,Banking,"Difficulty in contacting Lloyds Bank in late September 2022, which resulted in their inability to switch their mortgage interest rate product to the desired 3.26% five-year fixed rate.",Mortgage interest rate product,"mortgage, interest rate, communication","mortgage product switch, communication issues, financial loss",,,dont uphold,Jan O'Leary,1 November 2023,Difficulty in contacting Lloyds Bank and missing out on a preferred mortgage interest rate due to the delay.,"Lloyds Bank's failure to provide timely assistance and advice regarding the mortgage interest rate switch, resulting in financial loss.",The complainants want Lloyds to honor the initially desired 3.26% interest rate.,"Miss B and Mr. S experienced challenges in contacting Lloyds Bank in late September 2022, which prevented them from securing a preferred five-year fixed-rate mortgage product at 3.26%. Due to the delay, they had to opt for a different product with a higher interest rate of 3.69% fixed until January 2026.","The Ombudsman acknowledged the inconvenience faced by Miss B and Mr. S but concluded that Lloyds Bank was not at fault. The high call volume during that period was attributed to external factors, such as the mini-budget announcement, which led to market turmoil and increased demand for mortgage products. The Ombudsman also clarified that a formal application for the desired rate was never made before it was withdrawn, and therefore, Lloyds was not obligated to offer it."
DRN-3955394,Mr A,Lloyds Bank PLC,Banking,Unauthorised payment due to a scam,Current account,"Scam, payment, travel","Authorised payment, liability for fraud, duty of care",1447.0,,opposite,Mark Dobson,24 March 2023,Unauthorised payment due to a scam,The bank did not do enough to prevent the scam payment,Refund of the scammed amount and compensation for distress,"Mr A was tricked into making an international payment of £1,447 as part of a scam. He contacted Lloyds to cancel the payment but was unsuccessful. Lloyds considered the claim but said it couldn't retrieve Mr A's money from the beneficiary bank and that it wouldn't refund the payment because it hadn't done anything wrong.",The Ombudsman found that Mr A authorised the scam payment and that Lloyds was not liable for the loss. The Ombudsman also found that the payment was not unusual enough to warrant intervention from Lloyds.
DRN-3955763,Mr D,Lloyds Bank PLC (Lloyds),Banking,"Lloyds acted irresponsibly by allowing him an overdraft and increasing his limit to £5,000 when it ought to have known he had a gambling disorder.",Overdraft,"Overdraft, gambling disorder, irresponsible lending","Affordability of overdraft, credit checks, financial difficulty",,,Do not uphold,Caroline Davies,28 March 2023,"Lloyds' decision to approve an overdraft and increase the limit for Mr. D, despite his gambling disorder.",Mr. D believed that Lloyds should have recognized his gambling disorder from his account activity and acted irresponsibly by approving and increasing his overdraft limit.,Mr. D wanted the Ombudsman to find that Lloyds acted irresponsibly and to provide a remedy for the financial losses he incurred as a result.,"Mr. D had an overdraft with Lloyds Bank. The overdraft limit was increased several times, reaching £5,000 in March 2018. Mr. D closed the account and paid off the overdraft in October 2018. He complained to Lloyds that it was irresponsible to approve an overdraft for him considering his gambling disorder. Lloyds said it carried out credit checks and did not find any evidence to suggest that Mr. D would not be able to repay the overdraft.",The Ombudsman considered the evidence and concluded that Lloyds did not act irresponsibly in approving Mr. D's overdraft and increasing the limit. The Ombudsman noted that Lloyds carried out credit checks and that Mr. D's income and expenditure appeared to be sufficient to repay the overdraft. The Ombudsman also noted that Mr. D was able to pay off the overdraft within a reasonable period of time.
DRN-3960094,Mr P,Lloyds Bank Plc,Banking,Lloyds Bank Plc rejected a cheque paid into an account through an Immediate Deposit Machine (IDM) because it was made out to Mr P in his own name rather than to his company's name.,Cheque,"Cheque rejection, poor customer service, compensation","Cheque processing, customer service, compensation",191.0,September 2022,Do not uphold,Laura Colman,21 April 2023,Incorrect rejection of a cheque and poor customer service,The complainant felt that Lloyds Bank Plc was wrong to reject the cheque and that the compensation offered was insufficient.,"The complainant wanted Lloyds Bank Plc to apologise, return the original cheque, and pay fair compensation for the inconvenience caused.","Mr P, a director of a company C, attempted to pay a cheque of £191 into C's account using an Immediate Deposit Machine (IDM) at Lloyds Bank Plc. The cheque was rejected because it was made out to Mr P personally rather than to the company's name. Mr P was able to obtain a replacement cheque and successfully paid it into the company's account. He complained about the inconvenience caused, the time and frustration he had to go through, and the initial refusal to return the original cheque. Lloyds Bank Plc offered £100 in compensation, which Mr P considered insufficient.","The Ombudsman considered that Lloyds Bank Plc was right to reject the cheque as it was not made out to the company's name. The Ombudsman also considered that C did not suffer a financial loss as the disputed amount was eventually paid into the company's account. The Ombudsman acknowledged that C suffered inconvenience due to poor customer service, but found that the £100 compensation offered by Lloyds Bank Plc was fair and reasonable. The Ombudsman also clarified that Lloyds Bank Plc is not required to share copies of all its internal policies with Mr P or publish them on the internet."
DRN-3966191,The trustees of a charitable trust which I'll refer to as D,Lloyds Bank Plc (Lloyds),Banking,Lloyds Bank Plc declined to pay interest on the trust's current account despite a significant increase in the account balance.,Current account,"Interest payment, Business decision, Fairness","Banking services, Financial management, Customer service",,,Do not uphold,Asher Gordon,17 November 2023,Declined payment of interest on current account with significant balance,"They regarded it as unfair that Lloyds paid interest on some accounts but not others, and argued that the bank could generate an appreciable return that could be used for charitable purposes.",Payment of interest on the current account or an alternative solution that provides a fair return on the increased balance.,The trustees of a charitable trust complained that Lloyds Bank declined to pay interest on their current account despite a substantial increase in the balance. Lloyds maintained their position based on a business decision not to pay interest on such accounts. The trustees argued that this was unfair and sought a solution that would allow them to benefit from the increased balance.,"The Ombudsman considered the terms and conditions of the account, which made no reference to interest payment. While sympathizing with the trustees' position, the Ombudsman concluded that Lloyds had not given any undertaking to pay interest and that their decision not to do so was a matter of commercial judgment. The Ombudsman also acknowledged Lloyds' suggestion of an alternative interest-earning savings account as a reasonable way to address the trustees' concerns."
DRN-3980066,Mr and Ms P,Lloyds Bank PLC (Lloyds),Banking,Lloyds Bank PLC's failure to refund money lost in an investment scam.,Investment scam,"Investment scam, Payments, Refund","Payments, Liability, Warnings",690000.0,,Do not uphold,Charlie Newton,19 December 2023,Investment scam,Lloyds should have done more to prevent them from being scammed.,Refund of the money lost in the scam.,"Mr and Ms P made over 30 payments totaling over £690,000 to scammers between September 2021 and February 2022. They asked Lloyds to refund these payments, but Lloyds declined, stating that they had provided sufficient warnings about the payments. The complaint was referred to the Ombudsman for a decision.","The Ombudsman agreed with Lloyds that they had provided sufficient warnings about the payments and that Mr and Ms P had authorized the payments themselves. While some of the payments were flagged as unusual, Lloyds had asked probing questions and Mr and Ms P had answered them in a way that led Lloyds to believe that the payments were legitimate. The Ombudsman also considered whether Lloyds could have done more to recover the funds after the fraud was reported, but found that there were no funds remaining in Mr and Ms P's crypto wallet for the bank to recover."
DRN-3987908,Mr A,Lloyds Bank PLC,Banking,Incorrect application of interest charges on credit card account due to how payments and refunds were applied.,Credit card,"Interest charges, Payments, Refunds","Application of payments and refunds, Calculation of interest, Financial Ombudsman Service",,,Not upheld,Simon Dibble,27 April 2023,Incorrect application of interest charges on credit card account,Mr A believed that Lloyds Bank PLC had applied interest on his credit card account incorrectly as a result of how it had applied payments and refunds to his account.,Mr A wanted Lloyds Bank PLC to acknowledge the error and refund the interest charges.,"Mr A complained to Lloyds Bank PLC about how it applied payments and refunds to his credit card account, resulting in interest charges. Lloyds Bank PLC responded to his concerns and explained their policies, but Mr A remained dissatisfied. He then filed a complaint with the Financial Ombudsman Service.","The Ombudsman reviewed the terms and conditions of Mr A's credit card account and found that Lloyds Bank PLC had acted within those terms. The Ombudsman also noted that Lloyds Bank PLC had refunded the interest charges for September, October, and November 2022 as a gesture of goodwill, and had applied interest waivers until January 2023. The Ombudsman concluded that Lloyds Bank PLC had not acted unfairly or unreasonably, and therefore did not uphold Mr A's complaint."
DRN-3991713,Mr N,Lloyds Bank PLC,Banking,Unable to access dormant current account due to issues with identity verification and one-time passcode delays.,Current account,"Dormant account, Identity verification, One-time passcode","Access to account, Identity verification process, Communication issues",,,I dont uphold this complaint,Simon Louth,20 July 2023,Current account,Unable to access dormant account due to issues with identity verification and one-time passcode delays.,"Access to dormant account, Closure of dormant account","Mr. N, a customer of Lloyds Bank PLC, was unable to access his dormant current account due to issues with identity verification. He had sent certified copies of his identification documents but the bank had no record of receiving them. He was also frustrated with the delay in receiving one-time passcodes, which prevented him from accessing his account online.","The Ombudsman considered that Lloyds Bank had a duty to mitigate security risks and that requiring Mr. N to verify his identity before removing the dormancy marker was not unreasonable. The process for submitting certified copies of identity documents by post was deemed acceptable, even though Mr. N claimed to have already sent them. The delay in receiving one-time passcodes was acknowledged as frustrating but was not considered to have made a material difference in the situation. Therefore, the Ombudsman found that Lloyds Bank had followed its process for dormant accounts and treated Mr. N fairly."
DRN-3995258,Miss O,Lloyds Bank PLC,Banking,"Lloyds Bank PLC (Lloyds) acted irresponsibly by approving two accounts for an overdraft, increasing her overdraft limits and continued to apply charges to her account when she was in financial difficulty.",Overdraft,"Overdraft, charges, financial difficulty","Overdraft charges, affordability, financial difficulty",,,uphold,Caroline Davies,17 April 2023,Lloyds Bank PLC's handling of Miss O's overdraft accounts,Miss O felt that Lloyds Bank PLC had acted irresponsibly by allowing her to have an overdraft that she could not afford and by continuing to charge her fees and interest when she was in financial difficulty.,Miss O wanted Lloyds Bank PLC to refund all of the charges that she had been charged on her overdraft accounts and to remove any negative information from her credit file.,"Miss O had two accounts with Lloyds Bank PLC, one of which had an overdraft limit of £450 and the other of which had an overdraft limit of £150. Miss O complained to Lloyds Bank PLC that it had acted irresponsibly by allowing her to have an overdraft that she could not afford and by continuing to charge her fees and interest when she was in financial difficulty. Lloyds Bank PLC refunded some of the charges that Miss O had been charged, but she was not satisfied with this and brought her complaint to the Financial Ombudsman Service.","The Ombudsman found that Lloyds Bank PLC had not acted fairly and reasonably in continuing to charge Miss O overdraft interest and associated fees after it had increased her overdraft limit on one of her accounts. The Ombudsman also found that Lloyds Bank PLC should not have approved Miss O for an overdraft on her second account as she was already struggling to manage her existing overdraft. The Ombudsman directed Lloyds Bank PLC to put things right by removing all interest, fees and charges applied to Miss O's overdraft accounts from the dates on which the overdraft limits were increased."
DRN-4003339,Miss B,Lloyds Bank PLC (Lloyds),Banking,Lloyds Bank restricted and then closed her accounts without explanation causing her substantive distress and inconvenience.,Bank account,"Account closure, inconvenience, poor communication","Account restrictions, access to funds, customer service",,March 2022,Not upheld,Ketan Nagla,31 August 2023,"The complainant was complaining about Lloyds Bank restricting and then closing her accounts without explanation, causing her distress and inconvenience.","The complainant felt that Lloyds Bank had not provided a satisfactory explanation for restricting and closing her accounts, and that she had suffered inconvenience and distress as a result.","The complainant wanted Lloyds Bank to provide an explanation for restricting and closing her accounts, and to compensate her for the inconvenience and distress caused.","Lloyds Bank restricted and then closed Miss B's accounts without explanation. Miss B complained to Lloyds, who offered her £50 compensation for being told incorrectly that she would need to travel to another branch to withdraw her money. Miss B referred her complaint to the Financial Ombudsman Service, who found that Lloyds had acted in line with its terms and conditions and wider obligations when restricting and closing Miss B's accounts.",The Ombudsman found that Lloyds Bank had acted fairly and applied the terms of the account properly in both restricting and closing the accounts. The Ombudsman also found that there was no evidence to support Miss B's claim for financial loss.
DRN-4019865,Mr G and Miss G,Lloyds Bank PLC,Banking,Unable to get through to a mortgage adviser on 29 September 2022 and missed out on a favourable interest rate.,Fixed rate mortgage product,"Mortgage, interest rate, communication","Customer service, financial loss, product availability",,29 September 2022,uphold in part,Gerard McManus,25 May 2023,Incorrect information provided by Lloyds Bank about the availability of historical interest rates.,They should have been able to secure the interest rate that was available when they tried to contact the bank on 29 September 2022.,Compensation for the difference in interest rates and an apology from Lloyds Bank.,"Mr and Miss G attempted to contact Lloyds Bank on 29 September 2022 to secure a fixed rate mortgage product with an interest rate of 3.26%. However, they were unable to get through to a mortgage adviser despite several attempts. They eventually secured an appointment on 4 October and completed their mortgage application on 10 October, but the interest rate had increased to 4.2% by then. Lloyds Bank offered them £50 compensation for the inconvenience, but Mr and Miss G disagreed and filed a complaint with the Financial Ombudsman Service.","The Ombudsman acknowledged that Mr and Miss G made significant efforts to contact Lloyds Bank on 29 September but were unable to due to high call volumes. However, he also recognized that Lloyds Bank is not required to provide same-day appointments and that Mr and Miss G did receive an appointment within a reasonable timeframe. The Ombudsman also clarified that interest rates are subject to change and that the adviser correctly advised Mr and Miss G based on the current rates at the time of their appointment. However, he found that Lloyds Bank provided incorrect information about the possibility of applying historical interest rates, which led to confusion and disappointment for Mr and Miss G. Therefore, he upheld the complaint in part and awarded them £150 in compensation."
DRN-4036551,Mrs K,Lloyds Bank PLC,Banking,Lloyds Bank PLC's refusal to refund her after she paid money as a deposit for a car that turned out to have been a scam.,Online banking payment,"APP scam, CRM Code, reasonable basis","Authorised Push Payment scam, Contingent Reimbursement Model, Customer due diligence",700.0,August 2022,Do not uphold,Stephen Dickie,18 April 2023,Unauthorised payment,Lloyds Bank PLC's refusal to refund her after she paid money as a deposit for a car that turned out to have been a scam.,Refund of the lost money,"Mrs. K made an online payment of £750 as a deposit for a car advertised on social media. Despite some red flags, such as the low price, the seller's refusal to provide the vehicle's logbook or allow a viewing, and the mismatch between the seller's name and the receiving account name, Mrs. K proceeded with the payment. The seller turned out to be a scammer and disappeared with the money. Lloyds Bank PLC refused to refund Mrs. K's money, citing her lack of a reasonable basis for believing the transaction was legitimate.","The Ombudsman agreed with Lloyds Bank PLC's decision not to refund Mrs. K's money. While acknowledging the unfairness of the situation, the Ombudsman found that Mrs. K did not have a reasonable basis to believe that the transaction was legitimate. The low price, the seller's evasive behavior, and the other red flags should have prompted Mrs. K to exercise more caution before making the payment."
DRN-4041760,Mr L,Lloyds Bank PLC,Banking,Unable to deposit a cheque using the mobile app and had to go to a branch to do so.,Mobile banking app,"Mobile app, Cheque deposit, Branch visit","Digital banking, Customer service, Mobile app functionality",10.0,,Opposite,Guy Mitchell,12 June 2023,Difficulty in depositing a cheque using the mobile banking app,Inconvenience caused by having to visit a branch to deposit the cheque when the mobile app didn't work,Compensation for the inconvenience and recognition of the issue with the mobile app,"Mr. L complained about not being able to deposit a cheque using the Lloyds Bank mobile app and having to visit a branch instead. Lloyds stated that the issue was likely due to the unclear date on the cheque, and they offered Mr. L £10 to cover his expenses.","The Ombudsman considered the evidence and concluded that Lloyds Bank had not acted unfairly as they provide the option to deposit cheques via the app but do not guarantee its success every time. The issue was likely caused by the unclear date on the cheque, and Lloyds had offered compensation for the inconvenience."
DRN-4047498,Mr D,Lloyds Bank PLC (Lloyds),Banking,Failure to refund money lost in an investment scam.,Cryptocurrency investment,"Investment scam, Crypto, Fraud","Investment fraud, Payment authorization, Bank's liability",,,Do not uphold,Charlie Newton,1 December 2023,Investment scam and unauthorized payments,Lloyds should have stopped him from making the payments in question.,Refund of the money lost in the scam.,"Mr. D was scammed into making payments for cryptocurrency investments through social media. He made five transactions, four via crypto exchanges and one via bank transfer. After realizing he was scammed, he raised a complaint with Lloyds, claiming they should have stopped the payments.","The Ombudsman agreed with the investigator's conclusion that the payments were not sufficiently out of character to warrant an intervention by Lloyds. The payments were authorized by Mr. D using his legitimate security credentials, and there was no obligation on Lloyds to intervene further. While the first four transactions triggered Lloyds to confirm their genuineness, the overall circumstances did not indicate that Mr. D was being scammed. Additionally, a chargeback for the debit card payments or the Contingency Reimbursement Model for the bank transfer would not have been successful in recovering the lost funds."
DRN-4065127,Mr W,Lloyds Bank PLC,Banking,Unauthorised push payment (APP) scam,International money transfer,"APP scam, cryptocurrency investment, unauthorised payment","Investment scam, bank's liability, customer due diligence",4281.69,August 2021,Not upholding,Rebecca Connelley,2 May 2023,Unauthorised push payment scam resulting in financial loss,Lloyds Bank should have intervened as the payments were out of character for his account and should have done more to prevent the scam.,"Refund of both payments, compensation, and coverage of any related legal costs.",Mr W was scammed into making international payments for a cryptocurrency investment through an online platform. He claims that Lloyds Bank should have detected the suspicious nature of the transactions and prevented them.,"The Ombudsman found that the payments were not so unusual that they should have triggered further checks by the bank. Additionally, based on previous interactions with Mr W, it is unlikely that additional intervention by Lloyds would have prevented the scam."
DRN-4066333,Limited company B,Lloyds Bank PLC,Banking,Lloyds Bank PLC hasnt refunded it after it paid money upfront by bank transfer for a vehicle and this turned out to have been a scam.,Bank transfer,"APP scam, CRM Code, reasonable basis","Authorised Push Payment scam, Contingent Reimbursement Model, liability of banks for APP scams",4500.0,January 2022,Do not uphold,Stephen Dickie,28 July 2023,"Unauthorised payment made by the complainant to a fraudulent seller, resulting in financial loss.",Lloyds Bank PLC's refusal to refund the lost money despite the fraudulent nature of the transaction.,Refund of the lost money.,"The complainant, a motor repair company, fell victim to an Authorised Push Payment (APP) scam while attempting to purchase a vehicle advertised online. Despite the presence of several red flags, such as an unusually low price, payment instructions to an unfamiliar account, and lack of due diligence on the seller's part, the complainant proceeded with the transaction and lost £4,500. Lloyds Bank PLC, the complainant's bank, declined to refund the lost amount, citing the Contingent Reimbursement Model (CRM) Code, which allows banks not to reimburse APP scam losses in certain situations.","The Ombudsman determined that the complainant did not have a reasonable basis for believing that the payment was legitimate, as there were several indicators of potential fraud that were overlooked. Therefore, Lloyds Bank PLC was not liable to refund the lost amount under the CRM Code. Additionally, the Ombudsman considered that even if an Effective Warning had been provided by the bank, it would not have likely prevented the scam from succeeding."
DRN-4070646,Mrs J,Lloyds Bank PLC,Banking,"Lloyds Bank PLC's refusal to refund money she lost, which she believes was the result of a scam.",Personal current account,"scam, fraud, reimbursement","Contingent Reimbursement Model (CRM) Code, buyer-seller dispute, due diligence",20000.0,8 October 2019,opposite,Stephen Wise,13 July 2023,The complainant's belief that she was scammed and that Lloyds Bank PLC should reimburse her under the Contingent Reimbursement Model (CRM) Code.,The complainant believes that she was the victim of a scam and that Lloyds Bank PLC should have done more to protect her from fraud.,"The complainant wants Lloyds Bank PLC to reimburse her for the £20,000 she lost.","The complainant, Mrs J, made a payment of £20,000 from her Lloyds account to an account in the name of B, a director of a company that sold jewellery and offered bureau de change and pawn broking services. Mrs J believed she was buying a precious stone, but she never received the stone and the company subsequently went into liquidation. Mrs J believes she was scammed and that Lloyds Bank PLC should reimburse her under the CRM Code.","The Ombudsman found that there was not enough evidence to conclude that the seller was not legitimate and had set out to defraud Mrs J. The Ombudsman noted that the seller was the director of a registered and trading company, that the payment was made into an account in the seller's genuine name, and that there was no indication that criminal charges had been brought against the seller. The Ombudsman concluded that the CRM Code did not apply and that Lloyds Bank PLC was not responsible for reimbursing Mrs J."
DRN-4098133,Ms. W (executor of the estate of Mrs. S),Lloyds Bank PLC,Banking,Mis-selling of an interest-only mortgage and unfair treatment when in financial difficulty,Interest-only mortgage,"Mis-selling, financial difficulty, unfair treatment","Mortgage lending, affordability, customer service",,,Do not uphold,Ruth Stevenson,16 June 2023,The complaint relates to the mis-selling of an interest-only mortgage to Mrs. S by Lloyds Bank PLC and their treatment of her when she faced financial difficulties.,"The complainant alleges that Lloyds Bank PLC mis-sold an interest-only mortgage to Mrs. S, who was vulnerable due to health problems and financial difficulties, and that the bank did not treat her fairly when she was in arrears.",The complainant wants Lloyds Bank PLC to write off part of the mortgage balance or pay compensation for the distress and inconvenience caused to Mrs. S.,"Lloyds Bank PLC offered an additional borrowing to Mrs. S in 2008, which was used to repay a second charge loan. The complainant argues that Mrs. S would have been better off keeping the second charge loan as it was on a repayment basis and would have been repaid by the end of its term. However, the Ombudsman finds that the additional borrowing likely reduced Mrs. S's monthly outgoings and did not put her in a worse financial position. Regarding the handling of arrears, the Ombudsman finds that Lloyds Bank PLC remained in contact with Mrs. S, offered short-term payment plans, and put recovery action on hold when requested. While Mrs. S was vulnerable due to health problems and financial difficulties, the Ombudsman considers that Lloyds Bank PLC acted reasonably and does not find it responsible for Mrs. S's financial difficulties or the stress and worry she experienced.","The Ombudsman considers that the additional borrowing in 2008 did not result in financial loss or cause Mrs. S's financial difficulties. The Ombudsman also finds that Lloyds Bank PLC treated Mrs. S fairly when her mortgage was in arrears, as they offered forbearance and support when she was experiencing health problems and financial difficulties."
DRN-4104346,Mr W,Lloyds Bank PLC,Banking,Lloyds Bank PLC didn't pay a cheque he issued.,Cheque,"Cheque, payment, delay","Payment failure, customer service, compensation",50000.0,15 September 2022,uphold,Marco Manente,1 June 2023,Non-payment of a cheque,Financial loss and inconvenience due to the non-payment of the cheque,Compensation for financial losses and inconvenience,"Mr. W issued a cheque for £50,000 to himself and deposited it into an account with another bank. The cheque was processed by the other bank, but Lloyds Bank declined to pay it. Mr. W contacted Lloyds Bank to resolve the issue but faced delays and poor communication. An investigation by the Financial Ombudsman Service upheld Mr. W's complaint.",The Ombudsman found that Lloyds Bank failed to provide a satisfactory explanation for declining to pay the cheque. The Ombudsman awarded Mr. W interest for the loss of potential savings and compensation for distress and inconvenience.
DRN-4136451,Mrs B,Lloyds Bank PLC,Banking,Lloyds Bank PLC failed to refund transactions she didn't recognise.,Credit card,"Unrecognised transactions, PIN, Contactless payments","Negligence, Liability, Refund",3000.0,,uphold,David Perry,27 June 2023,Unrecognised transactions on Mrs B's credit card and Lloyds Bank PLC's refusal to refund them.,Mrs B believed that Lloyds Bank PLC had not treated her fairly and that she was not responsible for the unrecognised transactions.,Mrs B wanted Lloyds Bank PLC to refund the unrecognised transactions.,Mrs B noticed her credit card was missing and notified Lloyds. She thought the card and PIN were lost together but couldn't be sure. Lloyds declined to refund the disputed transactions. Mrs B complained and Lloyds maintained their position. She then brought her complaint to the Financial Ombudsman Service.,"The Ombudsman found that Mrs B was grossly negligent in writing down her PIN and keeping it with the card, which enabled the fraudulent transactions. However, the Ombudsman also found that some of the disputed transactions were made using the contactless feature of the card that didn't require the PIN and recommended these be refunded."
DRN-4151753,Mr G,Lloyds Bank PLC trading as Scottish Widows Bank (SWB),Banking,"SWB failed to respond to his solicitors' enquiries about whether his remortgage and transfer of title could go ahead, resulting in the expiry of his offer and additional costs.",Mortgage,"Remortgage, Transfer of title, Lack of response","Communication failure, Financial loss, Customer service",,,uphold in part,Esther Absalom-Gough,22 June 2023,"SWB's failure to respond to Mr. G's solicitors' inquiries regarding a remortgage and transfer of title, leading to the expiration of his mortgage offer and incurring additional costs.","SWB's lack of response to his solicitors' inquiries, which caused him stress and financial loss.","Compensation for the additional costs incurred, including the Early Repayment Charge (ERC), interest difference, additional solicitors' costs, and compensation for the stress caused.","Mr. G needed to remove a party from his mortgage as part of his divorce and obtained a mortgage offer from SWB. His solicitors sent the necessary documents to SWB for the transfer of title, but SWB failed to respond, causing the offer to expire. Mr. G had to secure a mortgage elsewhere at a higher rate and sought compensation for the resulting costs.","The Ombudsman found that SWB was at fault for not responding to Mr. G's solicitors' inquiries, which caused him stress and financial loss. However, the Ombudsman also acknowledged that Mr. G could have accepted SWB's offer to honor the original mortgage offer, which could have avoided some of the additional costs. Therefore, the Ombudsman decided to uphold the complaint in part and awarded Mr. G an additional £100 in compensation."
DRN-4158197,Ms P,Lloyds Bank PLC,Banking,Ms P complains that Lloyds Bank PLC failed to refund the full loss of her funds after being the victim of a scam.,Shares,"Scam, Fraud, Negligence","Investment scam, Bank's liability, Customer due diligence",,,Do not uphold,David Perry,30 June 2023,Investment scam,Failure of Lloyds Bank to prevent the losses and refund the remaining payments made by Ms P.,Full refund of the losses incurred due to the scam.,Ms. P was scammed into making multiple payments totaling tens of thousands of pounds to entities she believed were involved in a hostile takeover of a utility company. She claims Lloyds Bank failed to intervene and prevent the losses despite several red flags and unusual transaction patterns. Lloyds refunded 50% of the losses and £100 compensation but declined to refund the remaining 50%.,"The Ombudsman found that while Lloyds Bank could have done more to prevent the losses, Ms. P also contributed to her own losses by failing to exercise reasonable caution and conduct proper due diligence. The Ombudsman considered several red flags in the investment opportunity, including the unsolicited nature of the offer, lack of regulatory registrations, implausible share prices, and suspicious tax demands. The Ombudsman concluded that Ms. P should bear 50% responsibility for the losses and declined to require Lloyds Bank to make any further payments."
