Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning,Company
DRN-3761920,Mrs W,Casualty & General Insurance Company (Europe) Limited (C&G),Insurance,Declined claim for veterinary treatment for her dog on the ground that it related to a pre-existing condition.,Pet insurance policy,"Pre-existing condition, lameness, veterinary treatment","Insurance claim denial, medical negligence, pet insurance",,,uphold,Nigel Bremner,9 February 2023,Pet insurance,The complainant believed that her dog's current lameness was not related to a pre-existing condition and that the insurer had unfairly denied her claim.,The complainant wanted the insurer to reconsider her claim and pay for the veterinary treatment of her dog. She also sought compensation for the trouble and upset caused by the rejection of her claim.,"The complainant's dog, B, was insured with C&G from October 2020. In January 2022, B was taken to the vet for rear leg lameness and a claim was made for treatment. C&G denied the claim on the grounds that it was related to a pre-existing condition of left hind leg lameness that had not been disclosed on the insurance application. The complainant disputed this, arguing that B had only suffered skinned pads in 2020 and that the current lameness was a new issue.",The Ombudsman found that there was no evidence to support C&G's claim that B had lameness attributable to a cruciate issue in 2020. The Ombudsman also noted that the vet who treated B in 2022 had expressed the opinion that the current condition was not connected to any previous condition. The Ombudsman concluded that the endorsement added to the policy by C&G was unreasonable and that the treatment for which Mrs W was claiming did not relate to a pre-existing condition.,Casualty & General Insurance Company (Europe) Ltd
DRN-3761994,Ms S,Barclays Bank UK PLC (Barclays),Banking,Barclays Bank UK PLC (Barclays) hasnt reimbursed the money she lost when she fell victim to a scam.,Debit card,"scam, payments, fraud","unauthorized payments, fraud detection, chargebacks",,,dont uphold,Melanie Roberts,2 February 2023,Barclays Bank UK PLC (Barclays) hasnt reimbursed the money she lost when she fell victim to a scam.,She believes Barclays should reimburse the amount she lost.,Reimbursement of the money lost.,Ms. S lost money after falling victim to a scam and wants Barclays to reimburse her. Barclays argues that she authorized the payments and that there were no indications of fraud that would have triggered their fraud alert systems.,"The Ombudsman agreed with Barclays that there were no indications of fraud that would have required Barclays to make additional checks on the payments. The payments were made to legitimate cryptocurrency providers and the amounts were not considered to be significantly unusual or out of character. While Barclays did attempt chargebacks, the Ombudsman did not consider that the remaining chargebacks would have been successful.",Barclays Bank UK PLC
DRN-3762495,Mrs H,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC's refusal to refund money lost in a scam.,Payment services,"Scam, refund, payment","Online scams, payment fraud, customer protection",725,January 2022,I dont uphold this complaint.,Alan Millward,20 April 2023,The complaint relates to the refusal of Barclays Bank UK PLC to refund money lost by Mrs H in what she believes was a scam.,Mrs H believes that Barclays should refund the money she lost because she was the victim of a scam.,Mrs H wants Barclays to refund the money she lost.,"Mrs H made a payment of £725 to a seller through an instant messaging app to buy a pair of trainers. The trainers were never delivered, and the seller stopped responding to her messages and blocked her on social media. Mrs H reported the payment to Barclays as a scam and asked for a refund, but Barclays refused, stating that it did not believe the seller had set out to scam Mrs H and that this was a civil dispute between her and the seller.","The Ombudsman considered the evidence and determined that it was likely the seller was legitimate, as Mrs H had made payments to them and received goods from them previously. The Ombudsman also noted that the CRM code, which requires firms to reimburse customers who have been the victim of certain types of scams, does not apply to private civil disputes. Therefore, the Ombudsman concluded that Barclays was not required to refund the money Mrs H lost.",Barclays Bank UK PLC
DRN-3767068,Mr W,Barclays Bank UK PLC (Barclays),Banking,Barclays Bank UK PLC (Barclays) wont refund money he lost to an investment scam.,Debit card,"Investment scam, cryptocurrency, recovery scam","Fraudulent transactions, bank's duty of care, chargeback",15875.05,,Dont uphold,Gagandeep Singh,16 June 2023,Barclays' refusal to refund money lost to an investment scam.,Barclays failed to protect him from a scam despite having knowledge of suspicious activity.,Refund of the money lost to the scam.,"Mr. W fell victim to an investment scam and lost \u00a33,500 in 2014. In 2020, he came across an advertisement for a company claiming to help victims of the scam get their money back. He engaged with the company and was instructed to set up an account with a bank in another jurisdiction and make payments in cryptocurrency to facilitate the refund. He made multiple payments totaling \u00a315,875.05 using his Barclays debit card. Barclays declined to refund the disputed transactions, stating that they had warned Mr. W about the potential scam and advised him to do further research.","The Ombudsman considered the evidence and concluded that Barclays had sufficiently intervened by providing a scam warning and educating Mr. W about the risks involved. Although there were some red flags, the Ombudsman found that it was ultimately Mr. W's responsibility to exercise caution and verify the legitimacy of the opportunity. The Ombudsman also considered the possibility of a chargeback but determined that it was unlikely to be successful since the payments were made to a legitimate cryptocurrency exchange for services rendered.",Barclays Bank UK PLC
DRN-3767584,Mrs N,HSBC UK Bank Plc,Banking,"HSBC's refusal to refund over £51,000 she lost as part of an investment scam.",Debit card payments to crypto exchanges,"Investment scam, crypto currency, authorised payments","Unauthorised transactions, failure to prevent fraud, duty of care",51000,,uphold in part,Charlie Newton,27 February 2023,Unauthorised transactions and failure to prevent fraud,HSBC should have done more to prevent her from falling victim to the scam,Refund of the payments made to the crypto exchanges,"Mrs N was scammed into making payments to a fake investment broker. She made seven payments totalling £51,350, the first three of which were not considered suspicious by HSBC. However, the fourth payment should have prompted intervention from HSBC as it was the second transaction in a day, for a larger amount, and to an international payee. If HSBC had contacted Mrs N about this transaction, it is likely that she would have been prevented from transferring any more money to the scammer.","The Ombudsman agreed with the investigator's conclusion that HSBC should have intervened when Mrs N made the fourth payment. HSBC should have contacted Mrs N to check that the funds were not being transferred as part of a scam. If they had done so, it is likely that Mrs N would have been able to avoid making the subsequent payments. Therefore, the Ombudsman upheld the complaint in part and directed HSBC to refund Mrs N the payments made after the fourth transaction.",HSBC UK Bank Plc
DRN-3767736,Mr Z,Markerstudy Insurance Company Limited,Car insurance,"The application of a proportional settlement to his claim for his stolen motorbike, which was recovered but damaged, due to alleged misrepresentation of details when arranging the policy.",Motorbike insurance policy,"Misrepresentation, proportional settlement, motorbike insurance","Policy terms and conditions, claims handling, fairness and reasonableness",,December 2021,Dont uphold,Fiona Robinson,3 March 2023,Application of proportional settlement to a motorbike insurance claim due to alleged misrepresentation of parking details.,Mr Z believed it was reasonable to describe his parking space as a garage and felt the amended premium was exorbitant.,Mr Z wanted the full settlement of his claim without the application of a proportional settlement and disputed the insurer's calculation of the revised premium.,"Mr Z arranged motorbike insurance with Markerstudy through a broker, stating that the bike was garaged. Markerstudy applied a proportional settlement to his claim for a stolen and recovered motorbike, arguing that the bike was not garaged as stated and that a different policy with a higher premium would have been offered if accurate information had been provided. Mr Z disputed this and complained to the Ombudsman.","The Ombudsman found that Markerstudy had acted fairly and reasonably in applying a proportional settlement based on the incorrect information provided. While Mr Z believed his description of the parking space as a garage was reasonable, the Ombudsman considered the evidence provided by Markerstudy, including photos of the parking area, and concluded that the space did not meet the definition of a garage and posed a higher risk. The Ombudsman also noted that Markerstudy could have voided the policy, which would have resulted in no claim settlement and a negative impact on Mr Z's future insurance options. Therefore, the Ombudsman did not uphold the complaint.",Markerstudy Insurance Company Limited
DRN-3769999,Mr P,National Westminster Bank Plc,Banking,NatWest returned a payment of £540 to its sender without his authority.,Bank account,"fraud, payment, account","unauthorized payment return, fraud investigation, customer inconvenience",540,21 April 2022,dont uphold,Rebecca Hardman,13 April 2023,unauthorized return of a received payment,loss of access to funds and inconvenience caused by the account block,NatWest to reverse the return of funds and compensate for the inconvenience,"Mr. P received a payment of £540 into his NatWest account, which was blocked due to a fraud report. NatWest completed its review and returned the funds to the sender. Mr. P disputed the return, claiming the payment was a deposit for a room he was renting out.","The Ombudsman considered NatWest's actions in light of their legal and regulatory requirements to combat fraud. While acknowledging the inconvenience caused to Mr. P, the Ombudsman found that NatWest acted reasonably in blocking the account and completing the review within a reasonable timeframe. Regarding the return of funds, the Ombudsman noted the lack of a clear tenancy agreement and the concerns raised by the sending bank. Based on the available information, the Ombudsman concluded that NatWest's decision was not unfair and did not uphold the complaint.",National Westminster Bank Plc
DRN-3771230,Mr R,HSBC UK Bank Plc (HSBC),Banking,Delay in receiving a dividend payment from HSBC.,HSBC InvestDirect Plus account,"dividend payment, delay, contractual obligation","timeliness of dividend payments, classification of dividend payments as contractual or non-contractual, customer expectations vs. bank's policies",,29 June 2022,do not uphold,Susan Webb,19 June 2023,Delay in receiving a dividend payment,HSBC was contractually obliged to pay the dividends it received on behalf of customers and could not keep the money for itself.,Payment of the dividend within 2 days of HSBC receiving the funds.,"Mr. R had an HSBC InvestDirect Plus account and held shares with HSBC. On 29th June 2022, one of his holdings paid a dividend. He sent a secure message on 7th July 2022 inquiring about the delay in receiving the dividend. HSBC responded on 8th July 2022 stating that dividend payments may be delayed due to various reasons. The dividend was paid to Mr. R on 11th July 2022. Mr. R complained to the Financial Ombudsman Service as he believed HSBC should treat dividend payments as contractual and pay customers within 2 days of receiving the funds.",The Ombudsman considered the available evidence and arguments and concluded that HSBC had paid the dividend within the Financial Conduct Authority's (FCA) 10-day timescale and was entitled to classify dividend payments as non-contractual. The Ombudsman also noted that there was no breach of the FCA rulebook and that HSBC's actions were reasonable and fair.,HSBC UK Bank Plc
DRN-3774324,Miss A,Santander UK Plc,Finance,Santander blocked her account after she received two large payments from a family member and tried to send them on.,Bank account,"Account block, Payment review, Delay","Account freezing, Investigation delay, Inconvenience",,17 November 2021,I dont uphold this complaint.,Rebecca Hardman,6 March 2023,Santander blocking Miss A's account after she received two large payments from a family member and tried to send them on.,"Miss A complained that Santander blocked her account without giving a clear reason and that the review process took too long, causing her inconvenience.",Miss A wanted Santander to unblock her account and compensate her for the inconvenience caused.,Santander blocked Miss A's account after she received two large payments from a family member and tried to send them on. Miss A complained to Santander and the Financial Ombudsman Service.,The Ombudsman found that Santander was acting in line with its legal and regulatory obligations when it reviewed and blocked Miss A's account. The Ombudsman also found that the delay in completing the review was not avoidable and that Miss A was able to access her benefits during this time.,Santander UK Plc
DRN-3774972,Mr A,Barclays Bank UK PLC (Barclays Bank),Banking,Barclays Bank's refusal to refund money lost due to an investment scam.,Debit card,"Investment scam, cryptocurrency exchange, chargeback","Online fraud, payment protection, customer service",330,March 2021,Do not uphold,Tony Massiah,10 April 2023,Investment scam resulting in financial loss,Barclays Bank's refusal to refund the money lost in the scam,Refund of the money lost in the scam,"Mr. A fell victim to an investment scam and made payments through debit card transfers to a cryptocurrency exchange. He requested Barclays Bank to reimburse the lost amount, but the bank declined. The complaint was referred to the Financial Ombudsman Service after the internal investigation did not resolve the issue in Mr. A's favor.","The Ombudsman agreed with the initial investigator's findings. The transaction in question was not considered unusual enough to warrant Barclays Bank's intervention. The bank had raised a chargeback on Mr. A's behalf, but it was challenged due to the cryptocurrency exchange fulfilling its services. The Ombudsman concluded that Barclays Bank acted fairly and reasonably in the circumstances and declined to ask the bank to take further action.",Barclays Bank UK PLC
DRN-3777745,"O, a limited company",Accelerant Insurance Limited,Insurance,Settlement provided for a claim under its restaurant insurance policy with Accelerant Insurance Limited,Restaurant insurance policy,"Underinsurance, Business interruption, Average clause","Insurance Act 2015, Policy interpretation, Settlement calculation",,,uphold,Harriet McCarthy,8 March 2023,Settlement of a claim for business interruption and stock value under a restaurant insurance policy,The complainant believed the settlement offered by the insurer was unfair and did not reflect the actual losses incurred.,The complainant wanted the insurer to reassess the settlement and pay the full amount claimed for business interruption and stock value.,"The complainant, a restaurant owner, made a claim under its restaurant insurance policy with Accelerant Insurance Limited following a flood that damaged the premises. The insurer appointed loss adjusters to assess the claim and offered a settlement for business interruption and stock value. The complainant disputed the settlement, arguing that the insurer had made unfair deductions and calculations. The complaint was referred to the Financial Ombudsman Service for resolution.","The Ombudsman considered the policy wording, relevant legislation, and evidence provided by both parties. It was found that the insurer was entitled to make certain adjustments to the business interruption calculation due to the impact of the Covid-19 pandemic. However, the Ombudsman held that the insurer could not rely on the average clause in the policy to limit the settlement for underinsurance as it had not taken sufficient steps to draw the disadvantageous term to the policyholder's attention and contract out of the Insurance Act 2015. The Ombudsman therefore directed the insurer to reassess the claim in line with the Act and pay the outstanding amount with interest.",Accelerant Insurance Limited
DRN-3778487,Mrs and Mr A,AA Underwriting Insurance Company Limited (AA),Insurance,AA's handling of their home insurance claim for a damaged TV.,Home insurance policy covering household contents,"Claim handling, Damaged TV, Miscommunication","Claim declinature, TV damage assessment, Poor customer service",,Late October 2021,uphold,Richard Sowden,17 February 2023,Home insurance claim for damaged TV,AA declined their claim due to their inability to provide evidence of the source of funds for a temporary replacement TV.,Settlement of their claim and compensation for distress and inconvenience.,Mrs. and Mr. A filed a claim for a damaged TV under their home insurance policy. AA initially declined the claim due to inconsistencies in the information provided by the complainants and their failure to provide evidence of the source of funds for a temporary replacement TV. The Ombudsman found AA's request for this information to be irrelevant and unreasonable.,The Ombudsman considered the evidence and found that AA's actions were unfair and that they failed to properly investigate the claim. The Ombudsman also found that AA's reliance on the engineer's report was not reasonable and that AA's request for evidence of the source of funds for the temporary replacement TV was irrelevant.,AA Underwriting Insurance Company Limited
DRN-3783788,Mr N,Casualty & General Insurance Company (Europe) Limited (C&G),Insurance,Rejection of claim for treatment of his dog's medical condition on the grounds of pre-existing condition.,Pet insurance policy,"Pre-existing condition, hernia, cyst","Validity of pre-existing condition exclusion, accuracy of medical records, burden of proof",1170.34,,uphold,Nigel Bremner,16 May 2023,Treatment of dog's medical condition,C&G's rejection of his claim for treatment of his dog's medical condition on the grounds of pre-existing condition.,"Settlement of his claim, reimbursement of veterinary fees paid.","Mr N's dog, M, had a reducible hernia and underwent surgery to repair it. During the surgery, a cyst was found and removed. C&G denied the claim, stating that the cyst was a pre-existing condition and was not covered under the policy.","The Ombudsman found that there was no evidence in M's medical records of any signs or symptoms of a cyst prior to the surgery. Therefore, C&G failed to satisfy the burden of proof that the exclusion for pre-existing conditions applied. The Ombudsman upheld Mr N's complaint and required C&G to settle his claim and reimburse his veterinary fees.",Casualty & General Insurance Company (Europe) Ltd
DRN-3783956,Ms R,Casualty & General Insurance Company (Europe) Limited (C&G),Insurance,Declined claim for treatment for her dog on the ground that he had a pre-existing condition.,Pet insurance policy,"Pre-existing condition, Vomiting, Diarrhoea","Policy exclusions, Misrepresentation, Causation",564.55,,uphold,Nigel Bremner,13 March 2023,Pet insurance,The complainant believed that her dog's vomiting and diarrhoea in March 2022 was not related to his vomiting in September 2019 and therefore should not be considered a pre-existing condition.,The complainant wanted her claim to be settled and for compensation for the trouble and upset caused.,"The complainant took out a pet insurance policy with C&G in September 2021 for her dog, L. In March 2022, L suffered from repeated bouts of vomiting and diarrhoea. The cause of this was investigated by his vet, but the cause was unclear. Ms R claimed on her policy for the cost of this investigation, as well as additional costs for food and replacing items damaged by L's vomiting and diarrhoea. C&G declined her claim, stating that L had a pre-existing condition of vomiting in September 2019 and that the vomiting and diarrhoea in March 2022 was related to this. Ms R complained to the Financial Ombudsman Service.","The Ombudsman considered that C&G had not provided sufficient evidence of a connection between L's vomiting in 2019 and the vomiting and diarrhoea that he suffered in March 2022. The Ombudsman also considered that C&G had not acted fairly in adding the endorsement upon which it relied to decline Ms R's claim, as she had not been asked any direct questions about L's medical history when she took out her policy. The Ombudsman therefore upheld Ms R's complaint and required C&G to settle her claim, pay interest on any sum paid to her, and pay her compensation of £100.",Casualty & General Insurance Company (Europe) Ltd
DRN-3784771,Mrs H,Aviva Insurance Limited (Aviva),Insurance,Aviva placed two medical exclusions on her policy retrospectively and didn't put her on the Extended Hospital list as requested.,Private medical insurance,"Exclusions, Hospital list, Misrepresentation","Retrospective application of exclusions, Error in hospital list, Misdeclaration of medical conditions",,,Dont uphold,Nimisha Radia,28 February 2023,Retrospective application of two medical exclusions on her private medical insurance policy.,She believes she did not misrepresent her medical condition and that Aviva should have added her to the Extended Hospital list as requested.,Removal of the retrospective exclusions and reimbursement of any costs incurred as a result of the exclusions.,"Mrs. H took out a private medical insurance policy with Aviva and declared certain medical conditions. Later, she made a claim for shoulder and spine issues, and Aviva applied two exclusions to her policy retrospectively, citing misrepresentation in her medical declaration. She complained about this and also about not being added to the Extended Hospital list as requested.","The Ombudsman considered the Consumer Insurance (Disclosure and Representations) Act 2012 (CIDRA) and determined that Mrs. H failed to take reasonable care in completing the medical declaration, resulting in a careless misrepresentation. Therefore, Aviva was entitled to apply the exclusions retrospectively. The Ombudsman also found that Aviva's actions were fair and reasonable, and that there were no grounds to ask Aviva to remove the exclusions.",Aviva Insurance Limited
DRN-3786018,Mr R,Nationwide Building Society,Financial services,"Mishandling of personal data, declined bank account applications, incorrect credit file information, savings account rate, excessive information in DSAR response","FlexDirect account, savings account","Data mishandling, discrimination, credit file","Bank account applications, credit file, savings account",,,I dont uphold this complaint,Jade Rowe,10 May 2023,Mishandling of personal data and its impact on obtaining financial products,Nationwide's actions have caused him serious anxiety and impacted his reputation,"An apology, compensation for the distress caused, and a correction of the incorrect information on his credit file","Mr. R complained about Nationwide mishandling his personal data, which affected his ability to obtain financial products. He also had issues with his savings account rate and the excessive information provided in response to his DSAR request.","The Ombudsman considered all the evidence and concluded that Nationwide acted fairly and reasonably in declining Mr. R's bank account applications and in providing the information in response to his DSAR request. The Ombudsman also found that Nationwide did not provide incorrect information to credit reference agencies. Regarding the savings account rate, the Ombudsman found that Mr. R was not eligible for the introductory rate due to previously holding a FlexDirect account.",Nationwide Building Society
DRN-3787358,Mr P,West Bay Insurance Plc (trading as Zenith Insurance),Insurance,Rejection of his claim for dental treatment for his dog.,Pet insurance,"Dental treatment, accident, policy exclusion","Dental treatment coverage, interpretation of policy terms, assessment of causation",595,19 September 2021,uphold,Nigel Bremner,9 April 2023,Dental treatment for his dog,The complainant believed that the dental treatment was a direct result of an accident and should be covered by the policy.,Reimbursement of the cost of the dental treatment.,"The complainant's dog sustained an injury to his face when he ran into an abandoned shopping trolley. The vet found that the dog had a broken tooth which had become infected. The complainant claimed for the cost of the treatment, but the insurer denied the claim, stating that dental treatment is excluded from cover unless it is required as a direct result of an accident or injury. The complainant disputed this decision, arguing that the accident had caused the dental problems.","The Ombudsman considered the evidence provided by the complainant and the insurer, including statements from the vets who treated the dog. The Ombudsman concluded that it was more likely than not that the dental treatment was a direct result of the accident and therefore covered by the policy.",West Bay Insurance Plc
DRN-3788336,Mr W,Aviva Equity Release UK Limited,Financial services,"An early repayment charge (ERC) levied by Aviva when he sold his house, redeemed the mortgage and moved into new accommodation.",Equity release lifetime mortgage,"Equity release, early repayment charge, Activities of Daily Living (ADLs)","ERC waiver criteria, fairness of ADLs, vulnerability of customers",,,I dont uphold this complaint,Jeff Parrington,22 May 2023,The use of Activities of Daily Living (ADLs) to assess whether a borrower's change of accommodation is essential and therefore waives the ERC.,"Ms M believes that Aviva's criteria are fundamentally wrong and should not be used at all, as using ADLs can lead to unfair outcomes for vulnerable customers.",A waiver of the ERC.,"Mr W took out an equity release lifetime mortgage with Aviva in 2005. When he sold his house and moved into a retirement apartment complex in 2021, Aviva levied an ERC on redemption of the mortgage. Ms M, Mr W's daughter, brought the complaint on his behalf, arguing that Aviva's use of ADLs to assess whether a change of accommodation is essential is unfair.","The Ombudsman acknowledged that Mr W's circumstances are difficult, but found that Aviva had not treated him unfairly. The terms of the mortgage agreement allowed for the ERC to be levied unless the last surviving borrower died or was required to move into full-time residential care. Mr W did not meet Aviva's qualifying criteria for an ERC waiver. The Ombudsman also noted that Aviva offered the option of a medical professional carrying out an assessment of Mr W's circumstances, which would be retrospective and focus on his circumstances at the time of the redemption.",Aviva Equity Release UK Limited
DRN-3788976,Mrs D and Mr S,Covea Insurance plc,Insurance,Ongoing handling of two claims made under their home insurance policy.,Home insurance policy,"Home insurance, mishandling of claims, poor communication","Claim handling, communication, compensation",,,uphold,Dan Prevett,14 February 2023,The complaint relates to the handling of two claims made by Mrs D and Mr S under their home insurance policy with Covea Insurance plc.,"The main reason for the complaint is that Covea failed to provide Mrs D and Mr S with reasonable guidance to help them make a claim, which resulted in severe distress and inconvenience.",Financial compensation for the distress and inconvenience caused by Covea's actions and omissions.,"Mrs D and Mr S made two claims under their home insurance policy with Covea Insurance plc following a flood and a subsequent escape of oil. They were unhappy with Covea's handling of both claims, alleging that the insurer failed to properly manage the repairs, did not provide clear communication, and caused delays. The complaint also raised concerns about the impact of the claims on their future insurance premiums.","The Ombudsman found that Covea failed to provide Mrs D and Mr S with reasonable guidance to help them make a claim, which caused them significant distress and inconvenience. The Ombudsman also found that Covea was not responsible for the actions of the contractors and subcontractors involved in the repairs, but that it could have handled the claims better by providing clearer information and communication.",Covea Insurance plc
DRN-3790805,Mr R,HSBC UK Bank Plc,Banking,Delay in reimbursing flight expenses paid for using credit card after the flights were cancelled due to Covid-19 pandemic,Credit card,"Refund, Delay, Credit card","Chargeback, Compensation, Customer service",1000,,uphold,Niall Taylor,7 March 2023,Delay in processing refund claims for cancelled flights,Financial loss and inconvenience due to the delay in refund,Compensation for the inconvenience and distress caused by the delay,"Mr. R used his HSBC credit card to book flights with a third-party agent. Due to the Covid-19 pandemic, the flights were canceled, and Mr. R sought reimbursement from HSBC. Despite multiple attempts and several months of waiting, a significant amount of the refund remained outstanding, prompting Mr. R to escalate his complaint.","The Ombudsman acknowledged the delay in processing the refund claims and considered the inconvenience and frustration experienced by Mr. R. While recognizing the challenges faced by the bank during the pandemic, the Ombudsman deemed that the standard of service fell short of what could be reasonably expected. The initial compensation offered by HSBC was considered too low, but the revised offer of £225 was deemed fair and reasonable under the circumstances.",HSBC UK Bank Plc
DRN-3792508,Mr Y,Barclays Bank UK PLC (Barclays),Banking,Barclays' refusal to refund him the funds he lost as part of an investment scam.,Cryptocurrency,"Investment scam, cryptocurrency, fraud","Investment scam, bank's duty of care, customer responsibility",10800,,uphold in part,Charlie Newton,21 February 2023,Investment scam,Barclays' failure to prevent him from falling victim to the scam,Refund of the lost funds,"Mr. Y made multiple payments to cryptocurrency exchanges upon the instruction of a scammer, thinking he was making an investment. Barclays blocked the third payment but failed to adequately investigate and warn Mr. Y about the potential scam. Despite regulatory safeguards, the Ombudsman found that Barclays should have done more to protect Mr. Y from the scam.","Barclays should have asked more probing questions during the phone call and when Mr. Y visited the branch, which could have revealed the scam. A warning from Barclays would have likely led Mr. Y to discover scam warnings online and prevent further payments.",Barclays Bank UK PLC
DRN-3794014,Mr J and Miss J,U K Insurance Limited trading as Churchill (UKI),Insurance,Declined home insurance claim for storm damage,Home insurance policy,"storm damage, insurance claim, surveyor","storm damage assessment, claim handling, compensation",,,not upheld,Louise O'Sullivan,8 February 2023,Declined home insurance claim for storm damage,The complainant believed that the damage to their home was caused by a storm and that the insurer should cover the cost of repairs.,The complainant wanted the insurer to accept the claim and cover the cost of repairs.,"The complainant filed a claim with their home insurer, UKI, for storm damage to their home. UKI sent a surveyor to inspect the damage and declined the claim, stating that the damage was due to wear and tear. The complainant complained to UKI, and UKI agreed to accept the claim for internal damage but continued to decline the claim for external damage. The complainant then filed a complaint with the Financial Ombudsman Service.","The Ombudsman considered the weather conditions at the time of the damage and found that they did not meet the criteria for storm conditions. The Ombudsman also reviewed the surveyor's findings and did not see evidence of external damage caused by a storm. The Ombudsman concluded that UKI was reasonable in declining the claim for external damage. Regarding the internal damage, the Ombudsman found that UKI had responded fairly by accepting the claim and offering compensation for the issues with the claim assessment.",U K Insurance Limited
DRN-3799329,Mr G,Barclays Bank UK PLC,Banking,Barclays Bank UK PLC's refusal to refund all the money he lost after he fell victim to a scam.,Current account,"Scam, Authorised Push Payment, Reimbursement","Fraud, Banking practices, Consumer protection",7000,,Do not uphold,Staci Rowland,5 April 2023,Unauthorised payments made by the complainant under a scam,The complainant believed that Barclays should have done more to prevent him from losing money to a scam.,A full refund of the money lost to the scam.,"The complainant was looking for accommodation and was given a business card for an estate agent by a person he knew. He spoke to the agent on the phone and agreed to pay a deposit and initial rent payment in advance, totalling £7,000, before he had seen or found a property to rent. He made the payments in branch, stating that they were for home improvements and to fix his home, as instructed by the agent. He later realised that he had been the victim of a scam and reported it to Barclays, who reimbursed him 50% of the money he had lost under the Contingent Reimbursement Model Code (CRM Code).","The Ombudsman found that the complainant did not have a reasonable basis for believing that the payments were genuine or that the person he was transacting with was legitimate. He had not taken sufficient steps to verify the identity of the agent or the legitimacy of the payments, and should have been more cautious given the large amount of money involved. Therefore, the Ombudsman considered that liability should be shared equally between Barclays and the complainant.",Barclays Bank UK PLC
DRN-3804975,Mr and Mrs S,Nationwide Building Society,Financial services,Nationwide stopped paying credit interest on their Flex Plus account without informing them.,Flex Plus account,"credit interest, Flex Plus account, Nationwide Building Society","communication, banking, customer service",,,dont uphold,Thomas White,1 March 2023,Credit interest no longer being paid on Flex Plus account,Nationwide did not inform them of the change in terms,Nationwide to pay the credit interest that they believe they are owed,"Mr and Mrs S complained that Nationwide stopped paying credit interest on their Flex Plus account without informing them. Nationwide said that they sent a letter to all Flex Plus account holders in August 2019 to inform them of the change, but Mr and Mrs S say they never received the letter.","The Ombudsman considered all the available evidence and arguments and concluded that it is more likely than not that Nationwide did send the letter in question. The Ombudsman also noted that Mr and Mrs S were included in the Flex Plus mailing lists and that a summary of the changes was included in their bank statement. Therefore, the Ombudsman found that Nationwide did not act unfairly or unreasonably in this matter.",Nationwide Building Society
DRN-3805337,Mrs M and Mr M,Aviva Insurance Limited (Aviva),Insurance,Aviva wrongly declined two claims Mrs M made for cover to pursue her employer for discrimination arising from disability and for personal injury.,Legal expenses insurance (LEI),"Legal expenses insurance, Disability discrimination, Personal injury","Policy exclusions, Reasonable expectations, Duty of fairness",,,Dont uphold,Julia Wilkinson,27 February 2023,Declined insurance claims for legal expenses related to employment discrimination and personal injury.,"Mrs. M believed the insurance should cover her legal expenses, and the exclusions were unclear or unreasonable.",Mrs. M wanted Aviva to cover the legal costs for her employment discrimination and personal injury claims.,"Mrs. M had legal expenses insurance with Aviva as part of her home insurance policy. She made two claims under the policy, one for cover to pursue her employer for discrimination arising from disability and the other for personal injury relating to her mental health. Aviva declined both claims based on exclusions in the policy.","The Ombudsman found that the exclusions relied upon by Aviva were clear and reasonable, and that Mrs. M had not demonstrated that she had a reasonable expectation of coverage for her claims. The Ombudsman also found that Aviva had acted fairly and reasonably in considering and declining Mrs. M's claims.",Aviva Insurance Limited
DRN-3805440,Mr H,Barclays Bank UK PLC trading as Barclaycard,Banking,Irresponsible lending,Credit card,"Unaffordable lending, credit limit increase, financial difficulty","Lending practices, affordability checks, credit history",,,partially upholding,Douglas Sayers,6 February 2023,"Barclaycard provided him with further credit on each credit card in October 2011 and afterwards, which unfairly prolonged his indebtedness by allowing him to use credit he couldn't afford over an extended period of time.",He was in financial difficulty and Barclaycard should have recognized that and not provided him with further credit.,"He wants Barclaycard to put things right by adjusting his accounts, removing any adverse information from his credit file, and potentially refunding him any overpayments.",Barclaycard provided Mr. H with two credit cards in 2004 and 2010. He alleges that Barclaycard irresponsibly lent to him by increasing his credit limits in 2011 and 2012 despite his financial difficulties. Barclaycard disagrees and argues that they carried out proportionate checks to ensure affordability.,The Ombudsman reviewed the available evidence and found that Barclaycard should have done more to establish that the credit limit increases were sustainable for Mr. H. The Ombudsman noted the consistent state of arrears on Mr. H's accounts prior to the credit increases and concluded that Barclaycard's actions unfairly prolonged his indebtedness.,Barclays Bank UK PLC
