Case number,Complainant,Defendant,Defendant's industry,What was the complainant complaining about,What product involved in the complaint,Three key words on this complaint,Three key topics on this complaint,Claimed value in pounds,When did it happen? (date only),Final decision (uphold or opposite),Ombudsman's name,Decision deadline,what was the complaint relating to,what was the main reason that the complainant gave for them complaining,What did the complaint want,Summary of what happened,Summary of the Ombudsman's reasoning,Company
DRN-3994980,Directors of a small business,Lloyds Bank PLC,Banking,Advice and products sold to them by Lloyds Bank PLC over the last 30 years or so.,"Non-PPI products, including life assurance, critical illness, and decreasing term assurance policies","Mis-selling, suitability, financial detriment","Product suitability, advice given, and the way the bank treated the complainants",,,Uphold,Paul Mellor,10 April 2023,"The directors felt that the way Lloyds sold them loans, overdrafts, and protection policies was driven by its own interests, not giving enough regard to their needs.",They felt bullied and pressured into taking these products and that Lloyds had not properly considered their needs.,The directors wanted Lloyds to acknowledge that they had been treated unfairly and to provide them with a fair remedy for the unsuitable advice and products they had been sold.,"The directors of a small business complained about advice and products sold to them by Lloyds Bank PLC over the last 30 years. They felt that Lloyds had not acted in their best interests and that they had been pressured into taking out unsuitable products. Lloyds denied the allegations and argued that the products sold were suitable for the directors' needs. An investigation by the Financial Ombudsman Service found that some of the products sold were not suitable and that Lloyds had not properly considered the directors' needs. However, the investigator also found that the directors had not suffered any financial detriment as a result of Lloyds' actions.","The Ombudsman agreed with the investigator's findings and concluded that Lloyds had not provided suitable advice to the directors. However, he also found that the directors had not suffered any financial detriment as a result of Lloyds' actions. Therefore, he upheld only one aspect of the complaint and ordered Lloyds to reimburse the directors for the extra cost they had incurred as a result of the unsuitable advice.",Lloyds Bank PLC
DRN-3997250,Mr M,Lloyds Bank PLC,Banking,Unfairly declined section 75 claim under Consumer Credit Act 1974,Lloyds card,"Section 75, misrepresentation, locksmith","Section 75 claim, misrepresentation, locksmith charges",,,not to uphold,Elspeth Wood,27 July 2023,Declined section 75 claim for locksmith charges,Locksmith misrepresented the price and charged for undisclosed items,The complaint wanted the section 75 claim to be upheld and the locksmith charges to be refunded.,"Mr M had a locksmith bill that was higher than expected. He paid for the work using his Lloyds card and filed a section 75 claim, which was declined. He complained to the Financial Ombudsman Service.","The Ombudsman found that there was no misrepresentation by the locksmith and that the charges were standard. Therefore, the complaint was not upheld.",Lloyds Bank PLC
DRN-4012454,Mr H,Lloyds Bank PLC,Banking,"Lloyds Bank PLC (Lloyds) irresponsibly provided Mr H with and overdraft facility and allowed him to increase his limit from £300 to £4,000 over a short period of time.",Overdraft facility,"Overdraft, irresponsible lending, financial distress","Overdraft lending, affordability, redress",,,uphold,Caroline Davies,11 April 2023,Overdraft lending,"Lloyds Bank PLC (Lloyds) irresponsibly provided Mr H with and overdraft facility and allowed him to increase his limit from £300 to £4,000 over a short period of time.",A full refund of the overdraft.,"Mr H complained to Lloyds about its irresponsible overdraft lending. Lloyds upheld Mr Hs complaint and offered to settle it by:

Refunding all fees, charges and interest paid towards the overdraft facility from 26 October 2018 when Mr H started using it amounting to £1,867.53; 
It would apply this refund towards Mr Hs outstanding overdraft debt; and 
Back date the default on his account to 26 January 2019.","The Ombudsman considered all the available evidence and arguments and decided that what Lloyds had offered to do to put things right for Mr H was fair and reasonable in all the circumstances of his complaint. The Ombudsman explained that where a business accepts (or we decide) it did something wrong, we'd expect the business to put the consumer in the position they would be in if that wrong hadnt taken place. In this case, Mr H has been left with an outstanding balance on his overdraft, once all adjustments have been made, and he's been refunded all of the interest, fees and charges caused by his overdraft. So while Mr H has been left with a balance and he might be unhappy with this, Lloyds has done what the Ombudsman would normally expect it to do here.",Lloyds Bank PLC
DRN-4018717,Miss N,Lloyds Bank PLC (Lloyds),Financial services,Mis-selling of two life and critical illness cover policies in 2004,Two life and critical illness cover policies,"Mis-selling, Life insurance, Critical illness cover","Financial advice, Insurance, Consumer rights",,,Dont uphold,Yoni Smith,4 December 2023,Miss N complained that Lloyds Bank PLC (Lloyds) mis-sold her two life and critical illness cover policies in 2004.,She said that the policies were not required and that she had other financial protection in place.,Miss N wanted a refund of the premiums she had paid for the policies and compensation for the distress and inconvenience she had experienced.,"Miss N had an existing mortgage when she met with a Lloyds advisor in November 2004. She was identified as having a shortfall in her financial protection and was sold two policies: a mortgage cover policy and a standalone critical illness cover policy. In March 2022, Miss N complained to Lloyds, saying that the policies were not required and that she was unhappy with the commission amounts taken as part of the sale. Lloyds responded by saying that they felt the mortgage protection policy had been sold with too high a sum assured and paid Miss N the difference in what she had paid in premiums. Miss N remained unhappy and brought her complaint to the Financial Ombudsman Service for an independent review.",The Ombudsman considered all the available evidence and arguments and concluded that Lloyds had already done enough to put things right by compensating Miss N for the difference in premiums paid on the mortgage cover policy. The Ombudsman also found that the critical illness policy was not unsuitable and that the commission payments were sufficiently disclosed to Miss N.,Lloyds Bank PLC
DRN-4021492,Mrs J,Lloyds Bank Plc (Lloyds),Banking,Lloyds Bank Plc (Lloyds) has not found an account she has a passbook for which shows she had £412.83 saved in 1985.,Savings account,"passbook, account, balance","lost account, time limits, reasonable efforts",412.83,November 1985,I dont uphold this complaint,Jade Cunningham,11 October 2023,lost savings account,Lloyds could not prove what happened to the account,Reimbursement of the outstanding balance along with interest and compensation for the time and money spent trying to resolve the issue,"Mrs J found a passbook for a savings account with Lloyds that she had set up in 1979. The last balance recorded in the passbook was £412.83 in November 1985. She and her mother contacted Lloyds to locate the account, but Lloyds was unable to do so. Lloyds suggested she search on a website for lost bank accounts, but no information could be found. Lloyds said it could not investigate the complaint as it was raised more than six years after 1985, when she ought to have known she had cause to complain. Mrs J brought the complaint to the Financial Ombudsman Service.",The Ombudsman considered whether the complaint was brought within the time limits and found that it was. The Ombudsman noted that passbooks offer a snapshot of an account at a particular point in time and the lack of further entries does not prove an account remains open or that there were no further withdrawals. The Ombudsman also noted that Lloyds had searched its systems and could not find any record of the account. The Ombudsman concluded that it was more likely the account was closed and the balance withdrawn.,Lloyds Bank PLC
DRN-4024212,Mrs H,Lloyds Bank PLC,Banking,Refund not received for flights booked through a third party merchant,Chargeback,"Chargeback, Refund, Flights","Consumer rights, Chargeback scheme, Evidence of ticket delivery",,,Not upheld,Elspeth Wood,28 July 2023,Flights booked through a third party merchant not refunded,She thought she had been scammed and Lloyds did not do enough to help her.,Refund for the flights,Mrs. H booked flights through a third party merchant but did not receive her tickets. She cancelled the flights but only received a refund for the tax portion. She felt that Lloyds did not do enough to help her.,"The Ombudsman agreed with the investigator that Lloyds had acted reasonably in raising a chargeback and that the merchant had provided sufficient evidence to defend the chargeback. The Ombudsman acknowledged that the outcome may be disappointing for Mrs. H, but considered it to be fair in the circumstances.",Lloyds Bank PLC
DRN-4035010,Mr B,Lloyds Bank PLC,Banking,Misrepresentation of a points-based holiday club membership and failure to receive services purchased.,Points-based holiday club membership,"Misrepresentation, Holiday club membership, Credit card","Consumer rights, Financial services, Misrepresentation",7390.0,October 2013,Opposite,Mike Ingram,19 April 2023,Misrepresentation of a points-based holiday club membership and failure to receive services purchased.,Mr. B was misled into purchasing additional club points based on the false claim that he and his wife could not relinquish their existing membership without doing so.,Mr. B wanted Lloyds Bank PLC to accept liability for the misrepresentation and compensate him for the cost of the additional club points.,"Mr. B purchased additional club points for a points-based holiday club membership after being misled by a club representative. He claimed that he was told he could end his club membership after ten years if he bought the additional points, but he later found out that he and his wife were already entitled to end their membership under their existing contract. He argued that he would not have purchased the extra points if he had known this.","The Ombudsman found that there was insufficient evidence to support Mr. B's claims of misrepresentation and that it was not clear whether the governing law of the contract was English or Spanish. Therefore, the Ombudsman concluded that it would not be fair to uphold Mr. B's complaint.",Lloyds Bank PLC
DRN-4036463,Ms D,Lloyds Bank PLC (Lloyds),Financial services,Unfair closure of credit card account,Credit card,"Persistent debt, account closure, communication","Persistent debt rules, communication between bank and customer, affordability of payments",,,Not upheld,Simona Reese,31 October 2023,"The complainant, Ms. D, complained about the unfair closure of her credit card account by Lloyds Bank PLC (Lloyds).",Ms. D stated that she was a loyal customer who had paid the minimum amount each month and was not made aware that the account would be closed.,Ms. D wanted the account to be reinstated and for the interest to be waived.,"Ms. D held a credit card account with Lloyds for several years. Lloyds identified her account as being in persistent debt and sent her letters informing her of this and requesting her to increase her monthly payments. As the payments were not increased, Lloyds closed the account in August 2022. Ms. D complained, stating that she had not received the letters and was not aware that the account would be closed.","The Ombudsman considered the evidence and determined that Lloyds had correctly applied the rules related to persistent debt and had clearly communicated to Ms. D the potential consequences of not increasing her payments. The Ombudsman also found that Ms. D had not provided sufficient evidence to indicate that she was struggling financially and needed support. Therefore, the Ombudsman concluded that Lloyds had acted fairly and reasonably in closing Ms. D's credit card account.",Lloyds Bank PLC
DRN-4039212,Mr F,Lloyds Bank PLC (Lloyds),Banking,"Unfair removal of overdraft, closure of account, and recording of default on credit file",Overdraft,"Overdraft, Default, Financial difficulty","Overdraft management, Adverse credit reporting, Financial hardship",,,Not upheld,Jeshen Narayanan,19 April 2023,Overdraft management and adverse credit reporting,Financial difficulty and unfair treatment by the bank,"Removal of default, reopening of account, and compensation for inconvenience","The complainant, Mr. F, had difficulty repaying his overdraft and informed Lloyds Bank about his financial situation. Lloyds implemented temporary interest holds but later required an income and expenditure assessment, which showed Mr. F's negative disposable income. Despite Mr. F's disputes, the bank issued a formal demand notice for overdraft repayment. As the overdraft became unsustainable, Lloyds began corrective action by withdrawing the overdraft, closing the account, and recording a default on Mr. F's credit file.","The Ombudsman acknowledged Mr. F's dissatisfaction and sympathized with his situation. However, the Ombudsman found that Lloyds acted reasonably and within their rights given Mr. F's persistent negative disposable income and the unsustainability of the overdraft. While acknowledging the inconvenience caused to Mr. F, the Ombudsman concluded that it would not be fair or in Mr. F's best interests to require Lloyds to continue offering a current account or remove the default without a suitable repayment arrangement.",Lloyds Bank PLC
DRN-4040331,Mr J,Lloyds Bank PLC (Lloyds),Banking,Mis-selling of fee-paying Gold Service and Platinum accounts and ignoring his letters.,Gold Service and Platinum accounts,"Mis-selling, Unresponsive, Compensation","Account Mis-selling, Poor Communication, Inadequate Service",,,uphold in part,Thomas White,20 April 2023,Mis-selling of Gold Service account and Lloyds' failure to respond to his letters.,"Mr. J believed the Gold Service account was mis-sold as he was led to believe it was the only way to obtain a loan, and Lloyds failed to respond to his letters regarding account issues.","Compensation for distress and inconvenience, refund of account fees, and an apology from Lloyds.","Mr. J complained about being mis-sold a Gold Service account and Lloyds ignoring his letters. An adjudicator didn't uphold the complaint, but the Ombudsman partially upheld it, finding that Lloyds should have responded to Mr. J's letters and caused him inconvenience when trying to change his account. However, the Ombudsman did not find evidence to support the claim that the account was mis-sold.","The Ombudsman considered the available evidence and concluded that it was more likely Mr. J agreed to the Gold Service account for the preferential interest rates on loans and overdrafts rather than because he thought it was his only option to get a loan. Regarding the unanswered letters, the Ombudsman acknowledged that Lloyds should have responded but also noted that Mr. J could have taken steps to change his account himself if he was unhappy with the fees.",Lloyds Bank PLC
DRN-4045866,Mr P,Lloyds Bank Plc,Banking,Service provided by Lloyds Bank Plc in relation to an indemnity claim requested under the Direct Debit Guarantee.,Direct Debit Guarantee,"Direct Debit Guarantee, Indemnity claim, Payment error","Direct Debit Guarantee, Contractual dispute, Unfair treatment",,,I dont uphold this complaint,Jade Rowe,3 July 2023,Lloyds Bank Plc's handling of an indemnity claim made by Mr P under the Direct Debit Guarantee.,Mr P believes that Lloyds Bank Plc acted on a Direct Debit instruction that he had not authorized.,Mr P wants Lloyds Bank Plc to provide a copy of the Direct Debit mandate he signed giving his authorization and a refund of the disputed Direct Debit payments.,"Mr P complained about Lloyds Bank Plc's handling of an indemnity claim he made under the Direct Debit Guarantee. Mr P claims that Lloyds Bank Plc acted on a Direct Debit instruction that he had not authorized. Lloyds Bank Plc provided evidence to show that the Direct Debit was set up in 2012 and that the energy supplier had claimed the Direct Debits on numerous occasions over a long period of time before Mr P raised concerns. Lloyds Bank Plc also raised a Direct Debit Indemnity claim with the energy supplier, but the energy supplier provided evidence which successfully challenged the claim.",The Ombudsman found that the Direct Debit Guarantee is not designed to deal with contractual disputes between a customer and the originator of a direct debit. The Ombudsman also found that Lloyds Bank Plc acted fairly in reaching the conclusion that this is a contractual dispute. The Ombudsman also found that Lloyds Bank Plc treated Mr P the same as any other customer in the same set of circumstances.,Lloyds Bank PLC
DRN-4051060,Mr K,Lloyds Bank PLC,Banking,"Unfair closure of accounts, lack of explanation, and inadequate redress","Credit card, personal accounts, and joint current account","Account closure, unfair treatment, inadequate redress","Banking services, customer service, dispute resolution",,,uphold,Liam King,9 June 2023,Closure of bank accounts without valid reasons and inadequate redress offered by the bank.,The complainant felt that the bank unfairly closed his accounts without providing proper reasons and that the compensation offered was insufficient.,"Reinstatement of accounts, an apology, evidence of improved customer service, and increased compensation.","Mr. K, a long-standing customer of Lloyds Bank, had various accounts, including a credit card, personal accounts, and a joint account with his wife. He applied to be a private banking customer but was declined. A few months later, Lloyds closed all of his accounts without providing a clear reason. Mr. K complained to the bank but was offered a small sum of redress, which he considered inadequate. Dissatisfied with the response, he brought his complaint to the Financial Ombudsman Service.","The Ombudsman acknowledged that Lloyds Bank is not obligated to disclose the reasons for account closure to the customer as per their terms and conditions. However, the bank is required to provide the reasons to the Ombudsman to assess the fairness of the decision. Since Lloyds failed to provide adequate justification for closing Mr. K's accounts, the Ombudsman found that the bank did not act within its commercial discretion and caused unnecessary trouble and upset to the complainant. Therefore, the Ombudsman upheld the complaint and awarded Mr. K compensation of £150.",Lloyds Bank PLC
DRN-4070240,Mr W and X,Lloyds Bank PLC,Banking,Delay and unfair processes in switching their mortgage interest rate from a staff concessionary rate to a publicly available rate.,Mortgage,"mortgage, interest rate, delay","mortgage rate switch, advice process, staff concessionary scheme",,26 September 2022,Dont uphold,Arazu Eid,28 November 2023,Delay and unfair processes in switching their mortgage interest rate from a staff concessionary rate to a publicly available rate.,They feel Lloyds imposed unfair processes and barriers causing an unnecessary delay that led them to missing out on a lower rate of interest.,They want Lloyds to honour and backdate this interest rate to their mortgage account and pay them compensation for the distress and inconvenience caused.,Mr W and X have a mortgage with Lloyds. They wanted to switch part of their mortgage from a tracker to a fixed rate. Lloyds required them to speak to a specialist mortgage advisor due to the tax implications of switching from a staff concessionary rate to a public rate. This caused a delay and they missed out on a lower interest rate.,The Ombudsman considered that Lloyds policy of requiring staff to apply for mortgage changes by phone and to speak to a specialist mortgage advisor was reasonable. The Ombudsman also considered the wider economic situation at the time and the fact that many mortgage borrowers were trying to secure new mortgage products before they were withdrawn.,Lloyds Bank PLC
DRN-4073695,Mr and Mrs W,Lloyds Bank PLC (Lloyds),Banking,"Lloyds Bank PLC's refusal to refund over £53,000 lost as part of an investment scam.",Investment scam,"Investment scam, authorised payments, fraud monitoring","Unauthorised payments, bank's liability, financial loss",53000.0,N/A,Not upheld,Jack Ferris,18 December 2023,Unauthorised payments and the bank's failure to prevent the scam.,The complainants allege that Lloyds Bank PLC should have done more to prevent them from falling victim to the scam.,"Refund of the lost £53,000.","Mr and Mrs W lost over £53,000 in an investment scam. They made international payments to a foreign account and to a cryptocurrency account with Kraken, which was opened with the assistance of the scammer. Lloyds Bank PLC refused to refund the lost amount.",The Ombudsman considered that the payments were authorised by Mr and Mrs W and were not out of character with their spending history. There were no indicators of financial harm and the payments were not made to the same payee in quick succession. The Ombudsman also considered that Lloyds Bank PLC was not under any obligation to refund the money under the Contingent Reimbursement Model (CRM) Code.,Lloyds Bank PLC
DRN-4074261,Mr G,Lloyds Bank PLC,Banking,Charges on his overdraft,Overdraft,"Overdraft, charges, fairness","Overdraft charges, affordability, financial difficulty",,,uphold,Jeshen Narayanan,15 May 2023,The fairness of the charges applied to his overdraft account from November 2017 onwards.,Mr G believed that the charges were unfair and that he should not have been charged interest and fees on his overdraft from November 2017 onwards as he was experiencing financial difficulty at this time.,"Mr G wanted Lloyds to refund all the interest, fees and charges added to his account from November 2017 onwards and to remove the default that had been registered on his credit file.","Mr G complained about the charges on his overdraft. Lloyds agreed to refund the interest, fees and charges added to his account from November 2017 onwards, but Mr G disagreed and asked for an ombudsman's decision.","The Ombudsman found that Lloyds should have realised that Mr G was struggling and that it should not have added any interest, fees and charges to Mr Gs account from November 2017. The Ombudsman also found that Lloyds had done what it would normally expect a firm to do in these circumstances and that it was not necessary for Lloyds to do anything more.",Lloyds Bank PLC
DRN-4075154,T,Lloyds Bank PLC,Banking,"Incorrect information provided by the bank about closing a business current account and credit card account, leading to financial losses and inconvenience.",Business current account and credit card,"Account closure, Incorrect information, Financial loss","Banking services, Customer service, Compensation",,,uphold,Gemma Bowen,10 May 2023,"Incorrect information provided by the bank about closing a business current account and credit card account, leading to financial losses and inconvenience.",The complainant felt that the compensation offered by the bank was insufficient for the inconvenience and stress caused.,The complainant wanted increased compensation for the inconvenience and stress caused.,"The complainant, a limited company, experienced issues when trying to close their business current account and credit card account with the bank. Despite visiting a branch and canceling direct debits, the account remained open and became overdrawn. The bank eventually acknowledged a banking failure and offered compensation, which the complainant considered inadequate.","The Ombudsman acknowledged the inconvenience faced by the complainant but highlighted that the company is a separate legal entity from its officers. The Ombudsman considered the compensation offered by the bank, including a refund of fees and interest, to be fair and reasonable in light of the circumstances.",Lloyds Bank PLC
DRN-4082968,Mrs M,Lloyds Bank PLC,Banking,Unsuitable investment advice,Stocks and shares Individual Savings Account ('ISA') invested in the medium risk UK Growth Fund,"Investment advice, suitability, risk","Investment advice, risk assessment, suitability of investment",,,opposite,Susan Webb,25 August 2023,The complainant was complaining that the defendant had provided unsuitable investment advice when it recommended her to invest in a fund that was too risky for her as an inexperienced investor.,The complainant stated that she was an inexperienced investor and that the defendant had not properly assessed her risk tolerance before recommending the investment.,Financial compensation to put her into the position she would be in had she been given suitable investment advice.,"In 2000, Mrs M invested £7,000 into a stocks and shares Individual Savings Account ('ISA') invested in the medium risk UK Growth Fund. She later complained that the investment advice she had received from Lloyds Bank PLC was unsuitable, as she was an inexperienced investor and the fund was too risky for her. Lloyds Bank PLC upheld her complaint and offered her financial compensation.","The Ombudsman found that the investment advice provided by Lloyds Bank PLC was suitable for Mrs M, as she had the capacity to absorb investment loss and was in a strong enough financial situation to be able to invest. The Ombudsman also found that Mrs M had not objected to the way the advisor had recorded her risk approach at the time, and that she had not raised any issues when the value of her investment dropped substantially in 2001 and 2008.",Lloyds Bank PLC
DRN-4084558,Mr A,Lloyds Bank PLC,Banking,Being asked to provide a new signature on a business account.,Business account,"Signature, mandate, confusion","Signature update, communication, compensation",,31 January 2023,uphold,Martin Lord,10 June 2023,Request for a new signature on a business account,The complainant did not understand why he was being asked to provide a new signature as he had been banking with Lloyds since 1980 and his signature had not changed.,Clear explanation for the request of a new signature and an apology for the inconvenience caused.,"The complainant, Mr. A, complained about Lloyds Bank PLC (Lloyds) asking him to provide a new signature on a business account. Mr. A had been banking with Lloyds since 1980 and could not understand why a new signature was needed. Lloyds explained that they needed to update their records and that they did not hold a signature for any individuals on the account. Mr. A was frustrated by the lack of clarity and felt that Lloyds should have been able to provide a clear explanation for the request.","The Ombudsman found that it was reasonable for Lloyds to ask for new signatures to update their records, but that the explanation provided to Mr. A was not clear. The Ombudsman agreed that compensation of £75 was fair and suggested that Lloyds cancel the cheque that had been sent and deal with the payment in the normal way.",Lloyds Bank PLC
DRN-4093828,E,Lloyds Bank PLC,Banking,Delays in opening a business bank account,Business bank account,"Delay, Documents, Account","Account opening delay, Lack of communication, Financial loss",,13 March 2022,uphold,Marco Manente,16 June 2023,Delays in opening a business bank account and the inconvenience caused by the delay.,Loss of potential income and additional expenses incurred due to the delay in opening the account.,Compensation for the losses incurred due to the delay.,"The complainant applied for a business bank account with Lloyds Bank PLC on 13th March 2022. Despite submitting the required documents, the account opening was delayed due to issues with the verification process. The complainant claims that the delay caused financial losses as they were unable to trade as expected.","The Ombudsman acknowledged the delays in processing the account opening and agreed that Lloyds should have communicated the issues with the submitted documents promptly. However, based on the evidence available, the Ombudsman found insufficient grounds to support the claimed losses. Therefore, the Ombudsman considered the existing offer of £300 as a fair resolution to the complaint.",Lloyds Bank PLC
DRN-4101255,E,Lloyds Bank PLC,Banking,Withholding of funds and delay in closing accounts,Bank account,"Account closure, ID verification, Delayed access to funds","Account management, Customer service, Regulatory compliance",,,Opposite,Alex Brooke-Smith,2 June 2023,Delay in releasing funds after account closure and inconvenience caused by incorrect information provided by the bank.,Lloyds Bank's refusal to send the account balance by cheque despite the complainant's difficulty in visiting the branch during banking hours.,The complainant wanted Lloyds Bank to return the account balance by cheque.,"Lloyds Bank blocked E's account for review and later decided to close the accounts. Mr. A, representing E, visited the branch with ID but was incorrectly informed that he couldn't withdraw the funds. Despite subsequent apologies and compensation from Lloyds, Mr. A remained dissatisfied and brought the complaint to the ombudsman service.","The ombudsman acknowledged that Lloyds was entitled to block and close the accounts but found that there was a delay in releasing the funds. The ombudsman awarded 8% simple interest from 8 August 2022 until 19 May 2023 and an additional £150 in compensation. However, the request to send the account balance by cheque was denied due to security protocols and the availability of nearby branches.",Lloyds Bank PLC
DRN-4103046,Mr J,Lloyds Bank PLC,Banking,Lloyds Bank PLC lent irresponsibly when it approved his credit card application and went on to increase the credit limit on various occasions.,Credit card,"Credit limit increase, affordability, irresponsible lending","Lending practices, affordability checks, financial difficulty",,,uphold,Marco Manente,6 June 2023,Unaffordable and irresponsible lending,Mr J complained that Lloyds Bank PLC lent irresponsibly when it approved his credit card application and went on to increase the credit limit on various occasions.,Mr J wanted Lloyds Bank PLC to refund the interest applied to his credit card from January 2018 and to withdraw the credit card agreement.,"Mr J applied for a credit card with Lloyds in April 2010 and was given a £500 credit limit. Over the years, Lloyds increased the credit limit several times. By September 2016 the credit limit had increased to £6,100. Between January 2018 and October 2019 the credit limit was increased from £7,100 to £9,100. The credit limit was reduced in stages to £8,600 by January 2023. Last year, Mr J complained to Lloyds that it had lent irresponsibly in relation to his credit card. Lloyds agreed to refund £4,990.53 of interest applied to Mr Js credit card from January 2018 and paid him £200 for failing to address the credit limit increases in its first final response. Lloyds also advised it was withdrawing the credit card which would mean no further interest would be applied to the outstanding balance.","The Ombudsman agreed with Lloyds that it ought to have completed more comprehensive checks before increasing Mr J's credit limit to £7,100 in January 2018. At this point, Mr J's credit card had been open for around eight years and Lloyds hadn't asked for further information about his circumstances or finances. Lloyds has since looked back at Mr J's bank account and agreed there were signs he was struggling and that it shouldn't have increased his credit limit. As Lloyds has already upheld Mr J's complaint about the credit limits from January 2018 onwards, the Ombudsman is satisfied it's dealt with his concerns fairly.",Lloyds Bank PLC
DRN-4104243,Mr and Mrs D,Lloyds Bank PLC,Banking,Service received from Lloyds Bank PLC surrounding their reporting a lost debit card.,Debit card,"Debit card, holiday, error","Lost debit card, inconvenience caused, compensation",,,Do not uphold,Paul Cooper,23 June 2023,Reporting a lost debit card,"Inconvenience caused due to cancellation of the wrong debit card by Lloyds Bank, disrupting their holiday.",Reimbursement of the cost of waterpark and amusement park tickets.,"Mr and Mrs D lost their debit card while on holiday and reported it to Lloyds Bank. However, Lloyds mistakenly cancelled Mr D's debit card instead, leaving them without access to a working debit card. Despite Lloyds' apology and compensation, Mr and Mrs D remained dissatisfied and referred their complaint to the Financial Ombudsman Service.","The Ombudsman considered that although the error caused inconvenience, there were reasonable alternatives available to Mr and Mrs D to mitigate the impact on their holiday. Therefore, the Ombudsman did not find it fair to instruct Lloyds to reimburse the cost of the waterpark and amusement park tickets.",Lloyds Bank PLC
DRN-4108283,Miss L,Lloyds Bank PLC,Banking,Lloyds Bank PLC approved an overdraft without proper affordability checks and failed to act responsibly in their lending practices.,Overdraft,"Overdraft, affordability, compensation","Lending practices, financial difficulty, customer service",,July 2019,uphold,Caroline Davies,20 June 2023,Lloyds Bank PLC's lending decisions in relation to the overdraft Miss L had with it.,Miss L complained that Lloyds Bank PLC should never have approved such a high overdraft and it failed to do the proper checks when assessing her affordability prior to granting the overdraft.,Miss L would like more compensation considering the depth of her complaint.,"Miss L was approved for an overdraft in July 2019. She complained to Lloyds about its irresponsible overdraft lending. Lloyds upheld Miss L's complaint and agreed to refund all charges and interest from the date the overdraft was approved, pay £100 compensation for distress and inconvenience, and backdate the default on her account to the date the overdraft was granted. Miss L disagreed with the amount of compensation offered and asked for an ombudsman's decision.","The Ombudsman considered all the available evidence and arguments and determined that Lloyds Bank PLC's offer to refund all charges and interest, pay £100 compensation, and backdate the default on Miss L's account was fair and reasonable in the circumstances of her complaint. The Ombudsman acknowledged Miss L's distress and mental health issues, but determined that these were independent of the lending decisions made by Lloyds Bank PLC. The Ombudsman also noted that Miss L spent the credit provided by Lloyds Bank PLC and that she was left with a balance to repay after all adjustments were made. The Ombudsman concluded that it was fair and reasonable to expect Miss L to repay these funds and that her unhappiness at having a balance to repay was not a compelling reason to depart from the usual approach to putting things right in such cases.",Lloyds Bank PLC
DRN-4121305,Mr and Mrs C,Lloyds Bank PLC,Banking,"Card declined on holiday, discriminatory advice on Lasting Power of Attorney (POA)",Current account and debit card,"Card decline, Power of Attorney, Travel","Fraud prevention, Communication, Customer service",,14 January 2023,Not upheld,Caroline Davies,6 November 2023,"The complaint related to the decline of Mr and Mrs C's card while they were on holiday and the subsequent advice they received regarding a Lasting Power of Attorney (POA), which they felt was discriminatory.",Mr and Mrs C felt that the block on their card and the suggestion of a POA were unfair and caused them distress and inconvenience.,"Mr and Mrs C wanted an apology, compensation, and an assurance that the issue would not happen again.","Mr and Mrs C went on holiday and informed Lloyds Bank about their travel plans. However, their card was declined on several occasions due to a fraud check. Lloyds Bank tried to contact them but the contact details were not up to date. Mr and Mrs C complained about the inconvenience and distress caused by the card decline and the suggestion of a POA, which they felt was discriminatory.",The Ombudsman considered the evidence and concluded that Lloyds Bank had not made an error in applying the security measures. The Ombudsman also found that the suggestion of a POA was not intended to be discriminatory and that Lloyds Bank had already compensated Mr and Mrs C for the inconvenience caused.,Lloyds Bank PLC
DRN-4142434,Mr B,Lloyds Bank PLC,Banking,Lloyds Bank PLC lent to him irresponsibly.,Loan,"Unaffordable lending, irresponsible lending, credit checks","Lending practices, affordability assessment, financial difficulty",,,uphold,Emma Davy,22 June 2023,Unaffordable lending,"The loans were unaffordable, and that Lloyds should've realised this if it had carried out proper checks at the time.",Redress for the unfair lending,Mr B took out two loans from Lloyds Bank PLC in 2017. He later complained that the loans were unaffordable and that Lloyds had not carried out proper checks before approving the loans.,The Ombudsman found that Lloyds had not carried out reasonable and proportionate checks before approving the second loan. The Ombudsman considered that the loan was unaffordable and that Lloyds should have known this if it had carried out proper checks. The Ombudsman also found that Lloyds had not taken into account the fact that Mr B was already struggling to repay his existing debts.,Lloyds Bank PLC
DRN-4146691,Mr B,Lloyds Bank PLC,Banking,Declined chargeback claim for undelivered items purchased using his Lloyds card.,Lloyds card,"Chargeback, undelivered items, evidence","Chargeback process, evidence requirements, communication between bank and customer",193.54,28 November 2022,Dont uphold,Emma Davy,8 November 2023,Declined chargeback claim for undelivered items purchased using his Lloyds card.,Lloyds Bank PLC declined his chargeback claim for undelivered items despite him raising a dispute and providing evidence.,Mr B wanted Lloyds Bank PLC to uphold his chargeback claim and refund the amount of £193.54.,"Mr B made a purchase using his Lloyds card but claimed that he never received the items. He filed a chargeback request with Lloyds, which was initially accepted and a temporary credit was applied to his account. However, the merchant challenged the chargeback and provided evidence of delivery. Despite Lloyds sending an information request to Mr B for further evidence, he did not respond. Lloyds then declined the chargeback and debited Mr B's account again.","The Ombudsman considered the evidence provided by both parties and concluded that Lloyds acted reasonably in declining the chargeback. The merchant had provided tracking information showing delivery to Mr B's address, and Mr B did not provide any further evidence despite the information request from Lloyds. The Ombudsman noted that chargebacks are an evidence-based process and that Lloyds was not required to raise a chargeback if there was little prospect of success.",Lloyds Bank PLC
